2完美咪咕,#genre#
CCTV1综合,http://119.53.137.101:9002/608807420
CCTV2财经,http://119.53.137.101:9002/631780532
CCTV3综艺,http://119.53.137.101:9002/624878271
CCTV4中文国际,http://119.53.137.101:9002/631780421
CCTV5体育,http://119.53.137.101:9002/641886683
CCTV5+体育赛事,http://119.53.137.101:9002/641886773
CCTV6电影,http://119.53.137.101:9002/624878396
CCTV7国防军事,http://119.53.137.101:9002/673168121
CCTV8电视剧,http://119.53.137.101:9002/624878356
CCTV9纪录,http://119.53.137.101:9002/673168140
CCTV10科教,http://119.53.137.101:9002/624878405
CCTV11戏曲,http://119.53.137.101:9002/667987558
CCTV12社会与法,http://119.53.137.101:9002/673168185
CCTV13新闻,http://119.53.137.101:9002/608807423
CCTV14少儿,http://119.53.137.101:9002/624878440
CCTV15音乐,http://119.53.137.101:9002/673168223
CCTV17农业农村,http://119.53.137.101:9002/673168256
CCTV4欧洲,http://119.53.137.101:9002/608807419
CCTV4美洲,http://119.53.137.101:9002/608807416
CGTN外语纪录,http://119.53.137.101:9002/609006487
CGTN阿拉伯语,http://119.53.137.101:9002/609154345
CGTN西班牙语,http://119.53.137.101:9002/609006450
CGTN法语,http://119.53.137.101:9002/609006476
CGTN俄语,http://119.53.137.101:9002/609006446
老故事,http://119.53.137.101:9002/884121956
发现之旅,http://119.53.137.101:9002/624878970
中学生,http://119.53.137.101:9002/708869532
CGTN,http://119.53.137.101:9002/609017205
赛事最经典,http://119.53.137.101:9002/646596895
体坛名栏汇,http://119.53.137.101:9002/629943305
四海钓鱼,http://119.53.137.101:9002/637444975
陕西体育休闲频道,http://119.53.137.101:9002/956909356
武术世界,http://119.53.137.101:9002/958475359
快乐垂钓,http://119.53.137.101:9002/961930263
辽宁广播电视台体育休闲频道,http://119.53.137.101:9002/962067526
东方卫视,http://119.53.137.101:9002/651632648
江苏卫视,http://119.53.137.101:9002/623899368
广东卫视,http://119.53.137.101:9002/608831231
北京卫视,http://119.53.137.101:9002/630287636
辽宁卫视,http://119.53.137.101:9002/630291707
河北卫视,http://119.53.137.101:9002/962042070
江西卫视,http://119.53.137.101:9002/783847495
河南卫视,http://119.53.137.101:9002/790187291
陕西卫视,http://119.53.137.101:9002/738910838
大湾区卫视,http://119.53.137.101:9002/608917627
湖北卫视,http://119.53.137.101:9002/947472496
吉林卫视,http://119.53.137.101:9002/947472500
青海卫视,http://119.53.137.101:9002/947472506
东南卫视,http://119.53.137.101:9002/849116810
海南卫视,http://119.53.137.101:9002/947472502
海峡卫视,http://119.53.137.101:9002/849119120
中国农林卫视,http://119.53.137.101:9002/956904896
兵团卫视,http://119.53.137.101:9002/956923145
宁夏卫视,http://119.53.137.101:9002/738910535
重庆卫视,http://119.53.137.101:9002/738910914
三沙卫视,http://119.53.137.101:9002/961023778
上海新闻综合,http://119.53.137.101:9002/651632657
上视东方影视,http://119.53.137.101:9002/617290047
上海第一财经,http://119.53.137.101:9002/608780988
南京新闻综合频道,http://119.53.137.101:9002/838109047
南京教科频道,http://119.53.137.101:9002/838153729
南京十八频道,http://119.53.137.101:9002/838151753
体育休闲频道,http://119.53.137.101:9002/626064707
江苏城市频道,http://119.53.137.101:9002/626064714
江苏国际,http://119.53.137.101:9002/626064674
江苏教育,http://119.53.137.101:9002/628008321
江苏影视频道,http://119.53.137.101:9002/626064697
江苏综艺频道,http://119.53.137.101:9002/626065193
公共新闻频道,http://119.53.137.101:9002/626064693
盐城新闻综合,http://119.53.137.101:9002/639731825
淮安新闻综合,http://119.53.137.101:9002/639731826
泰州新闻综合,http://119.53.137.101:9002/639731818
连云港新闻综合,http://119.53.137.101:9002/639731715
宿迁新闻综合,http://119.53.137.101:9002/639731832
徐州新闻综合,http://119.53.137.101:9002/639731747
优漫卡通频道,http://119.53.137.101:9002/626064703
江阴新闻综合,http://119.53.137.101:9002/955227979
南通新闻综合,http://119.53.137.101:9002/955227985
宜兴新闻综合,http://119.53.137.101:9002/955227996
溧水新闻综合,http://119.53.137.101:9002/639737327
陕西银龄频道,http://119.53.137.101:9002/956909362
陕西都市青春频道,http://119.53.137.101:9002/956909358
陕西秦腔频道,http://119.53.137.101:9002/956909303
陕西新闻资讯频道,http://119.53.137.101:9002/956909289
财富天下,http://119.53.137.101:9002/956923159
镇江新闻综合,http://119.53.137.101:9002/639731783
辽宁广播电视台公共频道,http://119.53.137.101:9002/962045223
辽宁广播电视台生活频道,http://119.53.137.101:9002/962045226
辽宁广播电视台影视剧频道,http://119.53.137.101:9002/962067517
宁夏广播电视台文旅频道,http://119.53.137.101:9002/962067523
宁夏广播电视台经济频道,http://119.53.137.101:9002/962067520
经典香港电影,http://119.53.137.101:9002/625703337
抗战经典影片,http://119.53.137.101:9002/617432318
新片放映厅,http://119.53.137.101:9002/619495952
CHC影迷电影,http://119.53.137.101:9002/952383261
CHC动作电影,http://119.53.137.101:9002/644368714
CHC家庭影院,http://119.53.137.101:9002/644368373
和美乡途轮播台,http://119.53.137.101:9002/713591450
南方影视,http://119.53.137.101:9002/614961829
中国天气,http://119.53.137.101:9002/959986621
CETV1,http://119.53.137.101:9002/923287154
CETV2,http://119.53.137.101:9002/923287211
CETV4,http://119.53.137.101:9002/923287339
山东教育,http://119.53.137.101:9002/609154353
熊猫频道01高清,http://119.53.137.101:9002/609158151
熊猫频道1,http://119.53.137.101:9002/608933610
熊猫频道2,http://119.53.137.101:9002/608933640
熊猫频道3,http://119.53.137.101:9002/608934619
熊猫频道4,http://119.53.137.101:9002/608934721
熊猫频道5,http://119.53.137.101:9002/608935104
熊猫频道6,http://119.53.137.101:9002/608935797
熊猫频道7,http://119.53.137.101:9002/609169286
熊猫频道8,http://119.53.137.101:9002/609169287
熊猫频道9,http://119.53.137.101:9002/609169226
熊猫频道10,http://119.53.137.101:9002/609169285
最强综艺趴,http://119.53.137.101:9002/629942228
嘉佳卡通,http://119.53.137.101:9002/614952364
经典动画大集合,http://119.53.137.101:9002/629942219
新动漫,http://119.53.137.101:9002/961930269
新动力量创一流,http://119.53.137.101:9002/713589837
中华特产,http://119.53.137.101:9002/959986618
环球旅游,http://119.53.137.101:9002/958475356
茶,http://119.53.137.101:9002/961930369
斯诺克 徐思险胜塞尔比 赵心童、火箭遭淘汰 【回放】马克·塞尔比4-5徐思 03:00,http://119.53.137.101:9002/962740455
斯诺克 徐思险胜塞尔比 赵心童、火箭遭淘汰 【回放】罗尼·奥沙利文3-5阿里·卡特 03:00,http://119.53.137.101:9002/962738398
斯诺克 徐思险胜塞尔比 赵心童、火箭遭淘汰 【回放】赵心童3-5汤姆·福德 03:00,http://119.53.137.101:9002/962738413
斯诺克 徐思险胜塞尔比 赵心童、火箭遭淘汰 【回放】斯图尔特·宾汉姆5-2斯科特·唐纳森 03:00,http://119.53.137.101:9002/962744064
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 2026澳大利亚网球公开赛正赛Day12-7号球场全场回放（二） 07:00,http://119.53.137.101:9002/962757032
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】佩古拉0-2莱巴金娜（李晶、王蔷）（50帧原画） 07:00,http://119.53.137.101:9002/962751615
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】佩古拉0-2莱巴金娜 07:00,http://119.53.137.101:9002/962752424
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】萨巴伦卡2-0斯维托丽娜（李晶、王蔷）（50帧原画） 07:00,http://119.53.137.101:9002/962750527
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】萨巴伦卡2-0斯维托丽娜 07:00,http://119.53.137.101:9002/962750890
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】梅尔滕斯/张帅2-0柴原瑛菜/兹沃娜列娃（鸿昆） 07:00,http://119.53.137.101:9002/962749450
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】梅尔滕斯/张帅2-0柴原瑛菜/兹沃娜列娃 07:00,http://119.53.137.101:9002/962749880
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】佐尔达科娃0-2孙心然 07:00,http://119.53.137.101:9002/962744112
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】普什卡列娃1-2邵羽杉 07:00,http://119.53.137.101:9002/962743816
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】休伊特/菲利普西斯2-0巴格达蒂斯/萨芬 07:00,http://119.53.137.101:9002/962743912
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】莫里克/斯托瑟1-2科贝尔/佩特科维奇 07:00,http://119.53.137.101:9002/962747512
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】陈冠守2-0比洛泽尔采夫 07:00,http://119.53.137.101:9002/962745034
澳网 萨巴横扫晋级 莱巴金娜抢七胜佩古拉 【回放】拉甘0-2米格尔 07:00,http://119.53.137.101:9002/962744940
