5IPTV,#genre#
CCTV 1,http://$api?p=gitv&id=G_CCTV-1-AVS-4K264.m3u8
CCTV 2,http://$api?p=gitv&id=G_CCTV-2-HD-265-8M.m3u8
CCTV 3,http://$api?p=gitv&id=G_CCTV-3-AVS-4K264.m3u8
CCTV 4,http://$api?p=gitv&id=G_CCTV-4-HD-265-8M.m3u8
CCTV 5,http://$api?p=gitv&id=G_CCTV-5-AVS-4K264.m3u8
CCTV 5+,http://$api?p=gitv&id=G_CCTV-5PLUS-HD-265-8M.m3u8
CCTV 6,http://$api?p=gitv&id=G_CCTV-6-AVS-4K264.m3u8
CCTV 7,http://$api?p=gitv&id=G_CCTV-7-HD-265-8M.m3u8
CCTV 8,http://$api?p=gitv&id=G_CCTV-8-AVS-4K264.m3u8
CCTV 9,http://$api?p=gitv&id=G_CCTV-9-HD-265-8M.m3u8
CCTV 10,http://$api?p=gitv&id=G_CCTV-10-HD-265-8M.m3u8
CCTV 11,http://$api?p=gitv&id=H265-5500k-1080P-cctv11.m3u8
CCTV 12,http://$api?p=gitv&id=G_CCTV-12-HD-265-8M.m3u8
CCTV 13,http://$api?p=gitv&id=G_CCTV-13-HD-265-8M.m3u8
CCTV 14,http://$api?p=gitv&id=G_CCTV-14-CQ.m3u8
CCTV 15,http://$api?p=gitv&id=H265-5500k-1080P-cctv15.m3u8
CCTV 16,http://$api?p=gitv&id=G_CCTV-16-CQ.m3u8
CCTV 16 4K,http://$api?p=gitv&id=G_CCTV-16-4K.m3u8
CCTV 17,http://$api?p=gitv&id=G_CCTV-17-CQ.m3u8
CCTV 4K,http://$api?p=gitv&id=G_CCTV-4K-HD.m3u8
CCTV 世界地理,http://$api?p=gitv&id=G_SHIJIEDL-CQ.m3u8
CCTV 风云剧场,http://$api?p=gitv&id=G_FENGYUNJC-CQ.m3u8
CCTV 风云足球,http://$api?p=gitv&id=G_FENGSHANGZQ-CQ.m3u8
CCTV 风云音乐,http://$api?p=gitv&id=G_FENGYUNYY-CQ.m3u8
CCTV 兵器科技,http://$api?p=gitv&id=G_BINGQIKJ-CQ.m3u8
CCTV 央视台球,http://$api?p=gitv&id=G_TAIQIU-CQ.m3u8
CCTV 高尔夫网球,http://$api?p=gitv&id=G_CCTV-GOLF-CQ.m3u8
CCTV 女性时尚,http://$api?p=gitv&id=G_NVXINGSS-CQ.m3u8
CCTV 电视指南,http://$api?p=gitv&id=G_DIANSHIZN-CQ.m3u8
CCTV 第一剧场,http://$api?p=gitv&id=G_DIYIJC-CQ.m3u8
CCTV 怀旧剧场,http://$api?p=gitv&id=G_HUAIJIUJC-CQ.m3u8
CCTV 央视文化精品,http://$api?p=gitv&id=G_CCTV-WENHUA-CQ.m3u8
CETV 早期教育,http://$api?p=gitv&id=G_CETV-ZQJY-CQ.m3u8
江苏卫视,http://$api?p=gitv&id=G_JIANGSU-HD-265-8M.m3u8
东方卫视,http://$api?p=gitv&id=G_DONGFANG-HD-265-8M.m3u8
北京卫视,http://$api?p=gitv&id=G_BEIJING-HD-265-8M.m3u8
广东卫视,http://$api?p=gitv&id=G_GUANGDONG-HD-265-8M.m3u8
山东卫视,http://$api?p=gitv&id=G_SHANDONG-HD-265-8M.m3u8
深圳卫视,http://$api?p=gitv&id=G_SHENZHEN-HD-265-8M.m3u8
湖北卫视,http://$api?p=gitv&id=G_HUBEI-HD-265-8M.m3u8
湖南卫视,http://$api?p=gitv&id=G_HUNAN-HD-265-8M.m3u8
浙江卫视,http://$api?p=gitv&id=G_ZHEJIANG-HD-265-8M.m3u8
黑龙江卫视,http://$api?p=gitv&id=G_HEILONGJIANG-HD-265-8M.m3u8
天津卫视,http://$api?p=gitv&id=G_TIANJIN-HD-265-8M.m3u8
安徽卫视,http://$api?p=gitv&id=G_ANHUI-HD-265-8M.m3u8
辽宁卫视,http://$api?p=gitv&id=G_LIAONING-HD-265-8M.m3u8
东南卫视,http://$api?p=gitv&id=H265-5500k-1080P-dongnanstv.m3u8
吉林卫视,http://$api?p=gitv&id=G_JILIN-CQ.m3u8
四川卫视,http://$api?p=gitv&id=G_SICHUAN-CQ.m3u8
江西卫视,http://$api?p=gitv&id=G_JIANGXI-CQ.m3u8
河北卫视,http://$api?p=gitv&id=G_HEBEI-CQ.m3u8
河南卫视,http://$api?p=gitv&id=G_HENAN-CQ.m3u8
贵州卫视,http://$api?p=gitv&id=G_GUIZHOU-CQ.m3u8
重庆卫视,http://$api?p=gitv&id=G_CHONGQING-CQ.m3u8
云南卫视,http://$api?p=gitv&id=G_YUNNAN-HQ.m3u8
三沙卫视,http://$api?p=gitv&id=G_SANSHA-HQ.m3u8
海南卫视,http://$api?p=gitv&id=HD-8000k-1080P-lvyoustv.m3u8
凤凰卫视中文,http://$api?p=gitv&id=HD-10000k-1080P-fhchinese5s.m3u8
凤凰卫视资讯,http://$api?p=gitv&id=HD-10000k-1080P-fhzixun5s.m3u8
凤凰卫视香港,http://$api?p=gitv&id=HD-10000k-1080P-fhhongkong5s.m3u8
上海纪实人文,http://$api?p=gitv&id=H265-5500k-1080P-shanghaijishi.m3u8
北京纪实科教,http://$api?p=gitv&id=HD-8000k-1080P-beijingjishi.m3u8
纯享 4K,http://$api?p=gitv&id=HD-20M-2160P-chunxiang4k.m3u8
高清臻享睛彩篮球,http://$api?p=gitv&id=miguaoyun01-AVS-4K01.m3u8
