港澳新直播,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
青田新闻综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
亲亲20音乐,http://61.221.215.25:8800/hls/49/index.m3u8
Red Light,p3p://fccsen.dyndns.tv:29706/5a067bf9000f1b7e64fcd49f5f2824a3|1#https://cdn-main.lolokoko.tv/REDLIGHT.stream/chunks.m3u8
功夫片,https://live.metshop.top/huya/11352941
经典港片,https://live.metshop.top/huya/11352965
杰森史塔森,https://live.metshop.top/huya/21059588
枪战大片,https://live.metshop.top/huya/21059579
成龙电影,https://live.metshop.top/huya/11342386
王晶电影,https://live.metshop.top/huya/11602058
武侠片场,https://live.metshop.top/huya/11342427
玄幻系列,https://live.metshop.top/huya/11342414
周润发电影,https://live.metshop.top/huya/11342387
搞笑系列,https://live.metshop.top/huya/11342423
战争片,https://live.metshop.top/huya/21059574
李连杰电影,https://live.metshop.top/huya/11342390
周星驰电影,https://live.metshop.top/huya/11336587
黑帮系列,https://live.metshop.top/huya/11336719
喜剧系列,https://live.metshop.top/huya/11352877
林正英电影,https://live.metshop.top/huya/11342421
动作大片,https://live.metshop.top/huya/11602077
洪金宝,https://live.metshop.top/huya/11279251
谍战大片,https://live.metshop.top/huya/21059585
水浒传,https://live.metshop.top/huya/11342384#p3p://167.114.175.6:55331/603bd4ac00059f4cd8a46780216100a6
三国演义,https://live.metshop.top/huya/11602081#p3p://167.114.175.6:55331/603923630003b266ce20536c65220246
西游记,http://aldirect.corp-hls.huya.com/src/1250011-1250011-5368756364640256-2789253862-10057-A-0-1.m3u8?wsiphost=ipdbme#p3p://167.114.175.6:55331/6039232a000bdf40ce1f76d4653c5229
Red Bull,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8#http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
Love Nature 4k,p3p://167.114.175.6:55331/647f6116000240de22ca5ba304744102|1#https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
UA music,http://95.67.12.89:9087/
CMC-ono,https://cmc-ono.amagi.tv/playlist.m3u8
Norba TV,https://router.xdevel.com/video0s975885-462/stream/playlist_dvr.m3u8
Cmc TV,https://stream.cmctv.hr:49998/cmc/live.m3u8
Frist Music HD,http://rtmp.one.by:1200
Ru Frist Music HD,http://rtmp.one.by:2200
MDIINORBA,https://router.xdevel.com/video0s975885-462/stream/playlist_dvr.m3u8
MDIICMC,https://cmc-ono.amagi.tv/playlist.m3u8
MDIICMCTV,https://stream.cmctv.hr:49998/cmc/live.m3u8
MDIIFistmusic,http://hz1.teleport.cc/HLS/HD.m3u8
MDIICTPAHA,http://live.stranafm.cdnvideo.ru/stranafm/stranafm_hd.sdp/playlist.m3u8
MDIIStream,https://59d39900ebfb8.streamlock.net/adinkratvny/adinkratvny/playlist.m3u8
MDIImatypTB,https://public.streaming.matur-tv.ru/hls/h264_aac/stream.m3u8
MDIIecable,https://stream.ecable.tv/afrobeats/index.m3u8
