直播_斯玛特,#genre#
翡翠台,http://127.0.0.1:8084/smt.php?play=2&id=jade_twn
翡翠台 backup,http://127.0.0.1:8084/smt.php?play=2&id=Jade_xue
iNews 新闻台,http://127.0.0.1:8084/smt.php?play=2&id=inews_twn
J 2,http://127.0.0.1:8084/smt.php?play=2&id=j2_twn
珍珠台,http://127.0.0.1:8084/smt.php?play=2&id=pearl_twn
凤凰香港,http://127.0.0.1:8084/smt.php?play=2&id=hkphoenix_twn
HOY资讯台,http://127.0.0.1:8084/smt.php?play=2&id=hoycaijing_twn
RHK 31,http://127.0.0.1:8084/smt.php?play=2&id=rhk31_twn
VIUTV1,http://127.0.0.1:8084/smt.php?play=2&id=viu1_twn
RHK 32,http://127.0.0.1:8084/smt.php?play=2&id=rhk32_twn
凤凰卫视,http://127.0.0.1:8084/smt.php?play=2&id=phoenixtv_hd
凤凰资讯,http://127.0.0.1:8084/smt.php?play=2&id=phoenixinfo_hd
Viu6,http://127.0.0.1:8084/smt.php?play=2&id=viusix_twn
CCTV-1 综合 HD,http://127.0.0.1:8084/smt.php?play=2&id=cctv1
CCTV-2 财经,http://127.0.0.1:8084/smt.php?play=2&id=cctv2
CCTV-3 综艺 HD,http://127.0.0.1:8084/smt.php?play=2&id=cctv3
CCTV-4 中文国际,http://127.0.0.1:8084/smt.php?play=2&id=cctv4
CCTV4 新闻台,http://127.0.0.1:8084/smt.php?play=2&id=Cctv4
CCTV-5 体育频道,http://127.0.0.1:8084/smt.php?play=2&id=cctv5
CCTV-5+ 体育赛事 HD,http://127.0.0.1:8084/smt.php?play=2&id=cctv5plus
CCTV-6,http://127.0.0.1:8084/smt.php?play=2&id=cctv6
CCTV-7 军事农业,http://127.0.0.1:8084/smt.php?play=2&id=cctv7
CCTV-8 电视剧 HD,http://127.0.0.1:8084/smt.php?play=2&id=cctv8hd
CCTV-9 记录 HD,http://127.0.0.1:8084/smt.php?play=2&id=cctv9hd
CCTV-10 科教 HD,http://127.0.0.1:8084/smt.php?play=2&id=cctv10hd
CCTV-11 戏曲,http://127.0.0.1:8084/smt.php?play=2&id=cctv11
CCTV-12 社会与法,http://127.0.0.1:8084/smt.php?play=2&id=cctv12
CCTV-13 新闻频道,http://127.0.0.1:8084/smt.php?play=2&id=cctv13
CCTV-14 少儿,http://127.0.0.1:8084/smt.php?play=2&id=cctv14
CCTV-15 音乐,http://127.0.0.1:8084/smt.php?play=2&id=cctv15
湖南卫视,http://127.0.0.1:8084/smt.php?play=2&id=hunan_twn
浙江卫视,http://127.0.0.1:8084/smt.php?play=2&id=zhejiang_twn
江苏卫视,http://127.0.0.1:8084/smt.php?play=2&id=jiangsu_twn
深圳卫视,http://127.0.0.1:8084/smt.php?play=2&id=shenzhen
福建东南卫视,http://127.0.0.1:8084/smt.php?play=2&id=fujian
广东南方卫视,http://127.0.0.1:8084/smt.php?play=2&id=nanfang_twn
广东卫视,http://127.0.0.1:8084/smt.php?play=2&id=guangdongweishi_twn
北京卫视,http://127.0.0.1:8084/smt.php?play=2&id=beijing
珠江台,http://127.0.0.1:8084/smt.php?play=2&id=zhujiang
