油管-CCTV纪录片_3,#genre#
《跟着唐诗去旅行》4K 重回“诗佛”王维旧梦：遇见唐诗中的长安 将一颗澄澈之心安于山水之间  EP03【CCTV纪录】,https://www.youtube.com/watch?v=7LU6faG1rW0
《跟着唐诗去旅行》 4K 金戈铁马 壮阔边塞 体会“边塞诗人”岑参身居他乡的淡淡乡愁  EP04 【CCTV纪录】,https://www.youtube.com/watch?v=o-unfFlA9DQ
《跟着唐诗去旅行》4K 首首只应天上有！与李白一同纵横山水 仗剑走天涯 一探“诗仙”诗中景 景中情 EP05【CCTV纪录】,https://www.youtube.com/watch?v=71PpNklC1qI
活力广东 时尚湾区：一个可以让人自由追梦与寄托心灵的地方（上篇）【CCTV纪录】,https://www.youtube.com/watch?v=tpBtQ63zwBE
活力广东 时尚湾区：一个可以让人自由追梦与寄托心灵的地方！【CCTV纪录】,https://www.youtube.com/watch?v=fH4tmyW91w8
《一条大河》长江奔流！蕴养五千年华夏文明  展现三峡人民的傍水生活【CCTV纪录】,https://www.youtube.com/watch?v=f9Qp9l6mDkg
《鲜生史》4K 再现“吃货”鲁迅笔下的童年美食：虾有各种吃法 只有绍兴醉虾是永远的神！EP01【CCTV纪录】,https://www.youtube.com/watch?v=DBq27nx8s1s
《鲜生史》4K 中国到底哪里的鸭子最好吃？跟随“美食活地图”鲁迅先生打卡最经典的绍兴菜！ EP02【CCTV纪录】,https://www.youtube.com/watch?v=OCUg9iulXro
《鲜生史》4K 萨其马 柿霜糖 三不沾......“美食博主”鲁迅吃坏牙 可谓吃甜食的“最高境界”！EP03【CCTV纪录】,https://www.youtube.com/watch?v=49nFhNAkB0U
《鲜生史》4K 让鲁迅吃到胃疼的螃蟹有多好吃？吃蟹季最销魂的一口 莫过于这膏肥肉甜的大闸蟹了！EP04【CCTV纪录】,https://www.youtube.com/watch?v=JehBV8fgxwA
《鲜生史》4K “东坡系列名菜”创始人苏轼：这个北宋顶流美食博主 火在没有短视频的年代  EP05【CCTV纪录】,https://www.youtube.com/watch?v=zdQUbQ_Bs6A
《鲜生史》4K 羊的哪里最好吃？老饕如东坡 苏轼的“人生必吃”豪华菜单大公开！EP06【CCTV纪录】,https://www.youtube.com/watch?v=Lx1WM13B2NA
《鲜生史》4K 鲜掉眉毛的东坡玉糁羹  鲜甜肥美的烤生蚝......人间有味是清欢 美食家永不孤独！EP07【CCTV纪录】,https://www.youtube.com/watch?v=v5RlR4SuXnI
《鲜生史》 4K 烤鸭板鸭盐水鸭 鸭鸭入味！曹雪芹告诉你“鸭都”金陵到底有多野！EP08【CCTV纪录】,https://www.youtube.com/watch?v=6ymq23Vxc1g
《鲜生史》4K《红楼梦》记叙了186种美食！胭脂鹅脯 奶油松瓤卷酥 茄鲞......在经典名著里看懂“中式生活美学”！EP09【CCTV纪录】,https://www.youtube.com/watch?v=quGK-dHQsCI
《鲜生史》4K 曹雪芹将艺术世界与烟火人间的生活打通  一起来品味《红楼梦》中字里行间的色香味！EP10【CCTV纪录】,https://www.youtube.com/watch?v=syh8XSN7UgY
《鲜生史》4K 馋哭白居易的美食究竟是什么？穿越回唐朝 感受让人欲罢不能的美食盛宴！EP11【CCTV纪录】,https://www.youtube.com/watch?v=_FhZ0kmIxjY
《鲜生史》4K 来自唐朝的吃鱼攻略！“大唐第一美食博主”白居易亲测好吃 一起来寻江南美馔！EP12 【CCTV纪录】,https://www.youtube.com/watch?v=WGRCzFwr528
冬季旅游指南！带你畅游中国冬季美景 吃喝玩乐一网打尽！【CCTV纪录】,https://www.youtube.com/watch?v=wOOLxoTsPl4
探索云上张家界的奇幻魅力 发现《阿凡达》背后的自然灵感与旅游体验揭秘！【CCTV纪录】,https://www.youtube.com/watch?v=2TeuKlydaYI
畅游人间仙境厦门！品尝特色美食 尽享清凉海风 开启一场快乐之旅！【CCTV纪录】,https://www.youtube.com/watch?v=3pbg-3w8T3k
以澳门回归作为故事开端 通过人文美食 带你第一视角沉浸式游澳门！【CCTV纪录】,https://www.youtube.com/watch?v=sjI9e9yjtOc
冰雕 冬捕 打雪仗......走进不同的城市 看独属于当地特殊的冰雪魅力【CCTV纪录】,https://www.youtube.com/watch?v=ztXiEJXaf34
又到去哈尔滨的季节 冰雪大世界等你来玩！锅包肉 红肠 冻梨等你来吃！体验一场前所未有的欢喜与热闹【CCTV纪录】,https://www.youtube.com/watch?v=0ZNYw7Y67HI
重庆：江城 山城 雾都 这里是江湖大码头！它像山水一样魔幻 像火锅一样生猛！你确定不来感受一下这座“魔幻之城”？ 【CCTV纪录】,https://www.youtube.com/watch?v=2cyZPZ-uUUY
山东：荣获多个“全国第一”！它地貌多元 西高东低 耕田耕海耕天下！这个中国“第一”大省到底有多狂野？ 【CCTV纪录】,https://www.youtube.com/watch?v=2sAFMZPkXOQ
跟着“悟空”游山西！云冈石窟 悬空寺 平遥古城...... 中国最被低估的千年古都 不在河南 在山西！【CCTV纪录】,https://www.youtube.com/watch?v=vsFKtLw-wg4
江苏：可不止有江南水乡！这里既有鱼鲜盛宴 也有碳水江湖  它坐拥无数奇妙风物 极具探索潜力 江苏 很“仙”！【CCTV纪录】,https://www.youtube.com/watch?v=1h0fFMRudww
海南竟是“东北第四省”？海南岛的奇观 你其实从未见识！它既是碧水蓝天的度假圣地 更是一片“野性天堂”！【CCTV纪录】,https://www.youtube.com/watch?v=nwhWmC1qvzg
福建：中国最意想不到的沿海大省！它向海而生 不仅有闯荡世界的冒险精神 也守护着古老的的民俗传统！福建 很“猛”！【CCTV纪录】,https://www.youtube.com/watch?v=Oj_OxUx9crI
香港印象：感受香港“金融心脏”的脉动 体验维港夜晚的浪漫 一起探索香港特别行政区的现代与古典交融之美！【CCTV纪录】,https://www.youtube.com/watch?v=yCfAman-5Qc
见证“深圳奇迹”：从渔村到国际都市的辉煌蜕变！深圳不仅是改革开放窗口的前沿阵地 它更是持续创新 充满活力的代表！【CCTV纪录】,https://www.youtube.com/watch?v=Mu6WeMOxmC8
广东：“中国经济第一大省”！一起探寻美食之都的粤菜魅力 品千年文化底蕴与现代繁荣并存的风采！【CCTV纪录】,https://www.youtube.com/watch?v=e7suFhg5i9I
“中国之都”北京：海纳百川 雄伟壮丽！它不仅是一座历史人文气息浓厚的都城 更是当代中国的心脏与中枢！【CCTV纪录】,https://www.youtube.com/watch?v=nNMyyUxxNKk
