油管-百家讲坛_2,#genre#
王立群读宋史宋太宗（第二部）10 东山又起 两度为相 两次遭罢免 赵普因何第三次拜相？| CCTV官方频道,https://www.youtube.com/watch?v=kANx8KK35H0
王立群读宋史宋太宗（第二部）11 赵普走了 两朝元老 三次拜相 赵普的结局如何？| CCTV官方频道,https://www.youtube.com/watch?v=uAzGW-1MjWA
王立群读宋史宋太宗（第二部）12 西蜀乱起 王小波、李顺起义的原因、过程和结果是什么？| CCTV官方频道,https://www.youtube.com/watch?v=G9Gf7tJzun0
王立群读宋史宋太宗（第二部）13 风起云涌 李顺的大蜀政权究竟是如何建立的？| CCTV官方频道,https://www.youtube.com/watch?v=3FJ5hyAWdtA
王立群读宋史宋太宗（第二部）14 风流云散 李顺建立的大蜀政权是怎样被消灭的？他的结局如何？| CCTV官方频道,https://www.youtube.com/watch?v=XD8GZSrV7jQ
王立群读宋史宋太宗（第二部）15 太宗驾崩 揭秘宋太宗死亡原因,https://www.youtube.com/watch?v=B_O8K54aBN4
王立群读宋史宋太宗（第二部）16 步步惊心 准太子赵元僖为何意外去世？宋太宗又为何会突然转悲为怒处罚赵元僖？| CCTV官方频道,https://www.youtube.com/watch?v=WOOcwjys4uQ
王立群读宋史宋太宗（第二部）17 立储风波 赵元僖离奇死亡之后 宋太宗为什么不再提立太子之事？| CCTV官方频道,https://www.youtube.com/watch?v=xnxq16ffI2Q
王立群读宋史宋太宗（第二部）18 赵恒登基  宋真宗赵恒怎么坐上皇位的？| CCTV官方频道,https://www.youtube.com/watch?v=rXSSUNBpON8
王立群读宋史宋太宗（第二部）19 太宗一日 宋太宗一天当中都会做些什么事情？跟随王立群教授了解宋太宗一日工作安排,https://www.youtube.com/watch?v=M6zxircmaDY
王立群读宋史宋太宗（第二部）20 寡人无疾 坐拥六宫粉黛 绯闻女友众多 宋太宗是真的好色 还是后人给他泼脏水呢？| CCTV官方频道,https://www.youtube.com/watch?v=GW1y6B26kzM
王立群读宋史宋太宗（第二部）21 千秋功过 宋太宗是一个怎样的皇帝？清人为何对宋太宗没有好感？| CCTV官方频道,https://www.youtube.com/watch?v=QKMWuR4f3Do
宋徽宗之谜（1）意外登基之谜 错生帝王家 书画双绝的文艺青年赵佶是如何成为一国之君的？| CCTV官方频道,https://www.youtube.com/watch?v=J_elIxufgXM
宋徽宗之谜（2）巩固皇位之谜 面对离奇的皇宫纵火案 宋徽宗为何不敢追查？| CCTV官方频道,https://www.youtube.com/watch?v=IIxWB2sH3lQ
宋徽宗之谜（3）新政短命之谜 宋徽宗继位之初励精图治 为什么后来却变得昏庸无道了呢？| CCTV官方频道,https://www.youtube.com/watch?v=3jE5QRno_aE
宋徽宗之谜（4）重用蔡京之谜 “北宋六贼”之首的蔡京 为何能获得宋徽宗的宠信？| CCTV官方频道,https://www.youtube.com/watch?v=plXr4St1MhI
宋徽宗之谜（5）童贯封王之谜 宦官干政 祸国殃民的例子史不绝书 那么北宋宦官童贯为何能得到宋徽宗的器重？| CCTV官方频道,https://www.youtube.com/watch?v=8lNILv33VWk
宋徽宗之谜（6）奢靡生活之谜 声色犬马 荒淫无度 宋徽宗都做了哪些祸国殃民的荒唐事？| CCTV官方频道,https://www.youtube.com/watch?v=BiP6q9MyJ88
宋徽宗之谜（7）水浒真假之谜 武松打虎 林冲风雪山神庙 鲁提辖拳打镇关西 这些脍炙人口的好汉故事真的存在吗？| CCTV官方频道,https://www.youtube.com/watch?v=gjSxreKWeSo
宋徽宗之谜（8）联金灭辽之谜 北宋为什么要联合金国灭辽？为何最后会导致了北宋的灭亡？| CCTV官方频道,https://www.youtube.com/watch?v=qACjL7S-qN8
宋徽宗之谜（9）临阵倒戈之谜 宋徽宗对郭药师十分信任并委以重任 郭药师为什么还要叛变？| CCTV官方频道,https://www.youtube.com/watch?v=sGAxskB6FPE
宋徽宗之谜（10）匆忙禅位之谜 金军入侵 宋徽宗却为何急着禅位？| CCTV官方频道,https://www.youtube.com/watch?v=L5g23zVddDQ
宋徽宗之谜（11）逃亡生活之谜 史上最坑娃皇帝宋徽宗 匆忙禅位给儿子 自己却连夜逃跑,https://www.youtube.com/watch?v=PJq0O-zyNEM
宋徽宗之谜（12）父子关系之谜 探秘宋徽宗、宋钦宗父子之间矛盾激化的原因,https://www.youtube.com/watch?v=mjmNQgGDed8
