黑木耳电影_5,#genre#
喜剧片-圣诞不快乐,https://m3u8.hmrvideo.com/play/97bf9d3788a448288f9c575f160e43b2.m3u8
动作片-十步一剑,https://m3u8.hmrvideo.com/play/b079a031b9f14314bb6bcd61b4ebf546.m3u8
剧情片-蛇蝎情人,https://m3u8.hmrvideo.com/play/94fca73c450542afa16f4fe43a086e8c.m3u8
动作片-东方不败之风云再起（粤）,https://m3u8.hmrvideo.com/play/bc64cddf7fec4c99a38aa60cbc330784.m3u8
剧情片-新参者,https://m3u8.hmrvideo.com/play/f21dcd3c3b164af59fe160230d3067a6.m3u8
战争片-第九突击队,https://m3u8.hmrvideo.com/play/2bbaecb9825046f5956a2929bc6e11d1.m3u8
惊悚片-怒火攻心,https://m3u8.hmrvideo.com/play/345bbd671cdb4e7c9ff709ecb78dfc88.m3u8
犯罪片-反贪风暴(国),https://m3u8.hmrvideo.com/play/804f6acd10674f17b4da884ae6b1eb9f.m3u8
动作片-烈火战车(粤),https://m3u8.hmrvideo.com/play/c775d804b888482b8fb774d4900004e4.m3u8
动作片-勇闯夺命岛,https://m3u8.hmrvideo.com/play/b913557092034b78a6fc7ecd32b23da5.m3u8
剧情片-月光武士,https://m3u8.hmrvideo.com/play/81d848db1d834b6a81eb7ef69574cf67.m3u8
剧情片-九龙冰室（粤）,https://m3u8.hmrvideo.com/play/f7ab1aea2ffc4a449038b70137450913.m3u8
喜剧片-平安夜,https://m3u8.hmrvideo.com/play/eaa5d62f837d47cbb4708f5efe856b9f.m3u8
喜剧片-人在囧途,https://m3u8.hmrvideo.com/play/07735c89df4045c78fcebf36e9682147.m3u8
喜剧片-天师斗僵尸,https://m3u8.hmrvideo.com/play/e6fe39901f814c768b93c339016af25b.m3u8
喜剧片-最佳福星,https://m3u8.hmrvideo.com/play/16e2c2a1e91b48bfbffeee542d53ac36.m3u8
动作片-醉拳,https://m3u8.hmrvideo.com/play/7d5e3f969d834dd592d1ffbf04c9ffa0.m3u8
网络电影-无间风暴,https://m3u8.hmrvideo.com/play/457785ca452841418e96264c883c72f1.m3u8
爱情片-阳光灿烂的日子,https://m3u8.hmrvideo.com/play/023596384b4a47349fa5309b92a19ffa.m3u8
动作片-杀手：代号47,https://m3u8.hmrvideo.com/play/8a47d2555ff94d09bb6fff3630ff0be9.m3u8
剧情片-大海怪,https://m3u8.hmrvideo.com/play/ac03a052f9274282bc2da45c94b3ad94.m3u8
惊悚片-开棺,https://m3u8.hmrvideo.com/play/a513cb378bc74ec3817766e8e8591eaf.m3u8
动画电影-泡泡,https://m3u8.hmrvideo.com/play/1b005033afc243e09025d0242ec10682.m3u8
喜剧片-小偷阿星(粤),https://m3u8.hmrvideo.com/play/2ec91b80f8cf488e848a7237427fe096.m3u8
动作片-国家宝藏：夺宝秘笈,https://m3u8.hmrvideo.com/play/709b2b31159d4d49b46ca7f914884dcc.m3u8
剧情片-无人区,https://m3u8.hmrvideo.com/play/2e936a20115848eeb6dddf252d490313.m3u8
剧情片-百万元与苦虫女,https://m3u8.hmrvideo.com/play/9a7698b541134e8f8742c140d31f7106.m3u8
犯罪片-盲山,https://m3u8.hmrvideo.com/play/78a72d5fd9d0421a8ace0fd46a6925fd.m3u8
喜剧片-恶人报喜,https://m3u8.hmrvideo.com/play/a3f2fe02127d4672bd0693fca52f97c0.m3u8
恐怖片-乘客,https://m3u8.hmrvideo.com/play/4d83e72726f24e05a0f768fece2035f9.m3u8
冒险片-狼与狮子,https://m3u8.hmrvideo.com/play/ed11e23204a84b60aca2c6c765eeea01.m3u8
动作片-拳霸1,https://m3u8.hmrvideo.com/play/c37839c01cef4115830add8bae526c88.m3u8
喜剧片-憨豆先生的大灾难,https://m3u8.hmrvideo.com/play/fda89a7a8c1c4c32a5204104549326a9.m3u8
剧情片-守望者,https://m3u8.hmrvideo.com/play/1e7c61161190420b80725e77e5463440.m3u8
惊悚片-挖掘,https://m3u8.hmrvideo.com/play/718b95e1e954471bba746eb180f5978c.m3u8
动作片-方世玉续集,https://m3u8.hmrvideo.com/play/03cccdfa888746768c035453c645cf48.m3u8
恐怖片-阴阳路2：我在你左右,https://m3u8.hmrvideo.com/play/ffa292638b434312873e03f8e7e02cd5.m3u8
科幻片-龙之战,https://m3u8.hmrvideo.com/play/d882eea7207545788fcac2709e3f81c3.m3u8
科幻片-双重躯体,https://m3u8.hmrvideo.com/play/c0f22da373be4238acab582fe3b8febd.m3u8
剧情片-秋天的童话,https://m3u8.hmrvideo.com/play/6c9b2f23fbc74f04986c4cf5455b1ce3.m3u8
喜剧片-因爱富有2,https://m3u8.hmrvideo.com/play/0de5681111e84cd2bfc67d2b7404c28e.m3u8
剧情片-黑楼怪谈,https://m3u8.hmrvideo.com/play/9d1d88f4b45f4ae0a7a7d681d9cf9010.m3u8
喜剧片-偷家派对,https://m3u8.hmrvideo.com/play/20c8dc8ef7b44a47a2da38cdb89c9390.m3u8
剧情片-海底总动员,https://m3u8.hmrvideo.com/play/296a0b0ee7e9433e883c45bcdee70968.m3u8
奇幻片-博物馆奇妙夜,https://m3u8.hmrvideo.com/play/179528e101a84b55a1440f6018e43d65.m3u8
剧情片-新世纪高潮战队3G,https://m3u8.hmrvideo.com/play/7b4248a88588419d890233d1d4cdd1f9.m3u8
喜剧片-求别毁：雾山夺藏,https://m3u8.hmrvideo.com/play/13830653d12441fcb58bda1f1da754d6.m3u8
犯罪片-再见，残酷的世界,https://m3u8.hmrvideo.com/play/86ced21b37c74c958df23a20460d78bc.m3u8
剧情片-我爱你,https://m3u8.hmrvideo.com/play/8cfd1ebb860a401885a67f33d217f917.m3u8
科幻片-星球大战前传3：西斯的复仇,https://m3u8.hmrvideo.com/play/5e66e97711fd4a3b8f31adac200505a3.m3u8
剧情片-您好，北京,https://m3u8.hmrvideo.com/play/08c58d61a1274601812b2d6e1ad10042.m3u8
动画电影-温德尔和怀尔德,https://m3u8.hmrvideo.com/play/42d96085d9a34e029698b41918364ce8.m3u8
剧情片-“坏小子”乐团,https://m3u8.hmrvideo.com/play/aa0a4d293bc449cc90f81e04ad381350.m3u8
喜剧片-双龙吐珠（粤）,https://m3u8.hmrvideo.com/play/51281e293f034c5cb3d94c71320a73a8.m3u8
动作片-忍者刺客,https://m3u8.hmrvideo.com/play/0dd008ec33a047299a826e640d815800.m3u8
惊悚片-你的幸运日,https://m3u8.hmrvideo.com/play/a0e582d12bb642a7b642eb067dfb9246.m3u8
同性片-剧透预警,https://m3u8.hmrvideo.com/play/91f5fdabdeae44a2b340b5750d01231c.m3u8
悬疑片-晚安妈咪,https://m3u8.hmrvideo.com/play/1eec9d505dd14c4c93e84ce102c6f4c0.m3u8
喜剧片-替身演员,https://m3u8.hmrvideo.com/play/f93029eedbff4c3d81f1db619d35c292.m3u8
喜剧片-开心乐园（粤）,https://m3u8.hmrvideo.com/play/6f691f636a26400dbda3cff7dc080ad6.m3u8
动作片-窃听风云(国),https://m3u8.hmrvideo.com/play/619e7b49c928467792d8484a04e7281a.m3u8
剧情片-中国青年：我和我的青春,https://m3u8.hmrvideo.com/play/a93f8444f1e048289bdfab82d9cba6b6.m3u8
奇幻片-浴火牡丹,https://m3u8.hmrvideo.com/play/eda52909fa784e5bbe8b13bf34535034.m3u8
剧情片-在你面前,https://m3u8.hmrvideo.com/play/120fe2be7fdf479ab7b8ec9169a0ca19.m3u8
动作片-007之择日而亡,https://m3u8.hmrvideo.com/play/a8aca6ccb9b648ec9b4359143a0bb3a5.m3u8
动作片-巴霍巴利王：开端,https://m3u8.hmrvideo.com/play/daaffa4469be4b21b18fee9b9996d720.m3u8
喜剧片-铁板烧,https://m3u8.hmrvideo.com/play/ec8301a2c10b4b0989220a8456d23f00.m3u8
喜剧片-算死草(粤),https://m3u8.hmrvideo.com/play/935aafad05c549d3ad8ae871fd9b48ad.m3u8
科幻片-月球碎裂,https://m3u8.hmrvideo.com/play/40ff28e27c2747349cae7079ef7fa04f.m3u8
剧情片-五亿探长雷洛传2：父子情仇,https://m3u8.hmrvideo.com/play/c1d785bacafe421594075816b39baef8.m3u8
动作片-突袭,https://m3u8.hmrvideo.com/play/0bc5cd2b3e514cc8a45600d63fad6600.m3u8
犯罪片-各取应得,https://m3u8.hmrvideo.com/play/a5f0d6e5723f40108041e8124d8f3670.m3u8
动作片-不义联盟：人间之神,https://m3u8.hmrvideo.com/play/167b6f92a293401ca3635a7b658d9734.m3u8
动画电影-机动战士高达 闪光的哈萨维,https://m3u8.hmrvideo.com/play/c529118fd38d41f28558be19c5a3cf27.m3u8
爱情片-幸福终点站,https://m3u8.hmrvideo.com/play/72494ce11ca94643b7765ebd3a27f168.m3u8
动作片-死亡塔,https://m3u8.hmrvideo.com/play/8e4efadc0a6540d5a683fd36a1740a25.m3u8
动作片-黄飞鸿之西域雄狮,https://m3u8.hmrvideo.com/play/7c43e5c61ee74a39ac3d63a555150d5a.m3u8
剧情片-晚娘2012(上),https://m3u8.hmrvideo.com/play/67f421ff92c04465a60f9e6c39205ab0.m3u8
奇幻片-圣诞家族2,https://m3u8.hmrvideo.com/play/889bc04f11c44d98ad0d87eca86647a2.m3u8
剧情片-山村旅店,https://m3u8.hmrvideo.com/play/c5186a39203e4c02a904ce9465fdc727.m3u8
爱情片-热汤,https://m3u8.hmrvideo.com/play/128a11aba86f41d4811562bd5dc9b0a5.m3u8
动画电影-妄想学生会2 剧场版,https://m3u8.hmrvideo.com/play/faceaa62755d4cc4a105d29a17956f32.m3u8
冒险片-127小时,https://m3u8.hmrvideo.com/play/0ffec02ca20347d8b3ef525f9f56f1cd.m3u8
喜剧片-越来越好之村晚,https://m3u8.hmrvideo.com/play/1c163aec8034451a82459d1cb8be1256.m3u8
动作片-家族的恩惠,https://m3u8.hmrvideo.com/play/09433478047840c89e33a42f27ed73ff.m3u8
喜剧片-长短脚之恋(粤),https://m3u8.hmrvideo.com/play/1afb440c0ed94c15b412c0a1408ee059.m3u8
犯罪片-反贪风暴3(国),https://m3u8.hmrvideo.com/play/737f22589dca485f8d8ff9c2b4b4c04e.m3u8
动画电影-芭比：大城市大梦想,https://m3u8.hmrvideo.com/play/3f67feb122114cee94bc0dd5046b5e7b.m3u8
动作片-科学少女,https://m3u8.hmrvideo.com/play/7603526bbb4243b6a465c2a28f437a3b.m3u8
喜剧片-小时代2：青木时代,https://m3u8.hmrvideo.com/play/94ca98c82f1849ffbefbae49e9b9b282.m3u8
