4K电影,#genre#
五十度灰,https://v10.qdhdcate.com/yyv10/202403/06/XCLXCfngdD2/video/index.m3u8
浅草小子,https://v9.qdhdcate.com/yyv9/202401/10/9PBGkjgSVj1/video/index.m3u8
雷神4：爱与雷霆,https://v9.qdhdcate.com/yyv9/202401/28/CbJsDL5eSU1/video/index.m3u8
爱尔兰人,https://v9.qdhdcate.com/yyv9/202401/16/g8t9ah32cf1/video/index.m3u8
尚气与十环传奇,https://v9.qdhdcate.com/yyv9/202401/23/FagBf2W87n1/video/index.m3u8
爱你，西蒙,https://v9.qdhdcate.com/yyv9/202401/13/EryaaJuSes1/video/index.m3u8
子弹列车,https://v9.qdhdcate.com/yyv9/202402/04/kmDFUHWs8p1/video/index.m3u8
莫扎特传,https://v9.qdhdcate.com/yyv9/202401/14/T248k28BEQ1/video/index.m3u8
理发师陶德,https://v9.qdhdcate.com/yyv9/202401/23/a9mzjk2rYa1/video/index.m3u8
蒙上你的眼,https://v9.qdhdcate.com/yyv9/202401/29/VGhVdmv8fz1/video/index.m3u8
龙虎少年队2,https://v10.qdhdcate.com/yyv10/202402/26/8cA8YTwZDB2/video/index.m3u8
我为玛丽狂,https://v10.qdhdcate.com/yyv10/202402/24/z84kBSidTz2/video/index.m3u8
启示,https://v11.qdhdcate.com/yyv11/202402/19/Nf2xrAR4Jq3/video/index.m3u8
猎杀本·拉登,https://v10.qdhdcate.com/yyv10/202402/28/t31E5udFBz2/video/index.m3u8
迷雾,https://v11.qdhdcate.com/yyv11/202402/14/VvDZzdJn3V3/video/index.m3u8
气球,https://v10.qdhdcate.com/yyv10/202401/07/9uQd2HeBsR2/video/index.m3u8
月光男孩,https://v10.qdhdcate.com/yyv10/202402/25/vt8GkU5dBE2/video/index.m3u8
遗传厄运,https://v11.qdhdcate.com/yyv11/202402/07/dSR7xr9LL43/video/index.m3u8
愤怒的公牛,https://v10.qdhdcate.com/yyv10/202401/09/11tZsQrnG82/video/index.m3u8
我们,https://v10.qdhdcate.com/yyv10/202402/26/msTnmpXzD72/video/index.m3u8
西线无战事,https://v10.qdhdcate.com/yyv10/202401/04/cfPPqzGfTu2/video/index.m3u8
黑水,https://v10.qdhdcate.com/yyv10/202401/02/ScJ6xJf2qe2/video/index.m3u8
光辉岁月,https://v10.qdhdcate.com/yyv10/202401/03/s76MZLsEmz2/video/index.m3u8
十三条命,https://v10.qdhdcate.com/yyv10/202401/05/8DFNSM44tX2/video/index.m3u8
共同警备区,https://v10.qdhdcate.com/yyv10/202312/24/ucrevCdUNq2/video/index.m3u8
