喜剧片,#genre#
无名之辈：否极泰来,https://v13.qdhdcate.com/yyv13/202509/02/Z4VLHYcsKL23/video/index.m3u8#HD$https://v13.qdhdcate.com/yyv13/202509/09/AWK1cRisJs22/video/index.m3u8
东京僵尸,https://v14.qdhdcate.com/yyv14/202508/30/21z9viiH7021/video/index.m3u8
不可思议的黑洞,https://v14.qdhdcate.com/yyv14/202508/30/JD3EG44YAW24/video/index.m3u8
戏台2025,https://v14.qdhdcate.com/yyv14/202509/08/Gq38T3J6KA21/video/index.m3u8
我不是这个,https://v13.qdhdcate.com/yyv13/202509/02/2TXxJmGp1h22/video/index.m3u8
侏罗纪宠物历险记：重返野外,https://v13.qdhdcate.com/yyv13/202509/03/b57CBD7rbh21/video/index.m3u8
疯子的葬礼,https://v13.qdhdcate.com/yyv13/202509/01/jR4GrC2cUg19/video/index.m3u8
鬼神警察,https://v14.qdhdcate.com/yyv14/202509/02/AvEYTsHsUy23/video/index.m3u8
奇遇,https://v14.qdhdcate.com/yyv14/202509/02/yVscXPaChV20/video/index.m3u8
最美的她们,https://v13.qdhdcate.com/yyv13/202509/07/B7mzfQ4Emi20/video/index.m3u8
脱缰者也,https://v14.qdhdcate.com/yyv14/202508/31/j5a80gmNZ822/video/index.m3u8
恶趣味,https://v14.qdhdcate.com/yyv14/202508/25/bz0BLu2zhi23/video/index.m3u8
二麻租媳妇,https://v14.qdhdcate.com/yyv14/202508/25/fenVyj1GPm21/video/index.m3u8
他是我的！,https://v13.qdhdcate.com/yyv13/202508/25/c3h6avp9YX23/video/index.m3u8
流星语粤语,https://v14.qdhdcate.com/yyv14/202508/28/MTTMtUraBz19/video/index.m3u8
真爱至尚,https://v14.qdhdcate.com/yyv14/202508/24/VA2bCYu34p24/video/index.m3u8
僵尸高校4：吸血鬼黎明,https://v13.qdhdcate.com/yyv13/202508/25/CZuLzy0GST22/video/index.m3u8
啊，你好！,https://v14.qdhdcate.com/yyv14/202508/27/zpc3CaZaXg23/video/index.m3u8
素描惊魂,https://v14.qdhdcate.com/yyv14/202508/13/GH0iyq5Fzw19/video/index.m3u8#HD$https://v14.qdhdcate.com/yyv14/202508/27/ZKMEFm4EgD24/video/index.m3u8
不梦幻足球队,https://v13.qdhdcate.com/yyv13/202508/27/d0LuPG8jYL24/video/index.m3u8
妄人妄途,https://v13.qdhdcate.com/yyv13/202508/25/cw3GvygPWb22/video/index.m3u8
校内僵尸联谊会,https://v13.qdhdcate.com/yyv13/202508/23/iz6iJ1jeiK21/video/index.m3u8
农场小霸王：卡勒布的巡演告白,https://v13.qdhdcate.com/yyv13/202508/23/KED33W9nj622/video/index.m3u8
看到灵魂的那只眼师公,https://v14.qdhdcate.com/yyv14/202508/22/Z1hbkU1XD719/video/index.m3u8
辣妈辣妹2,https://v14.qdhdcate.com/yyv14/202508/25/QsN8zH5KBn23/video/index.m3u8
漂流海龟岛,https://v14.qdhdcate.com/yyv14/202508/23/MfFcp4aMWK19/video/index.m3u8
你们这些混蛋,https://v14.qdhdcate.com/yyv14/202508/23/6BbVg3nhhH22/video/index.m3u8
亲爱的，别！,https://v14.qdhdcate.com/yyv14/202508/26/KjGhG80BYm19/video/index.m3u8
吉姆·加菲根：瘦子,https://v14.qdhdcate.com/yyv14/202508/22/tmmmr8ACt119/video/index.m3u8
快盗妙探,https://v13.qdhdcate.com/yyv13/202508/22/ZE2BRmie7822/video/index.m3u8
百万年薪快递员,https://v14.qdhdcate.com/yyv14/202508/19/L0CzT1fKRN20/video/index.m3u8
坏蛋联盟2,https://v14.qdhdcate.com/yyv14/202508/08/5iM90guAii19/video/index.m3u8#HD$https://v14.qdhdcate.com/yyv14/202508/20/WQmQ1gB2u522/video/index.m3u8
巴黎颂纽约情,https://v14.qdhdcate.com/yyv14/202508/19/mDN9SxN2YN24/video/index.m3u8
小人物2,https://v14.qdhdcate.com/yyv14/202508/19/uWM6vztjXL23/video/index.m3u8
离婚好麻吉,https://v13.qdhdcate.com/yyv13/202508/22/FR1LBZ7rCd21/video/index.m3u8
哈桑·明哈杰：从头来过,https://v14.qdhdcate.com/yyv14/202508/20/48Zq4b2yjA24/video/index.m3u8
艾拉娜·格雷泽：人类魔法,https://v13.qdhdcate.com/yyv13/202508/19/5BsTyZsdYP23/video/index.m3u8
