战争片,#genre#
战斗吧木兰,https://v14.qdhdcate.com/yyv14/202508/30/Aib2ZEz5MB23/video/index.m3u8
恶魔士兵,https://v14.qdhdcate.com/yyv14/202508/10/XmxaidmYsF21/video/index.m3u8
解放石家庄,https://v4.qdhdcate.com/yyv4/202503/26/9TCb8YFuUj21/video/index.m3u8
碧海红波,https://v5.qdhdcate.com/yyv5/202503/08/hPDGnSuXXG23/video/index.m3u8
明月几时有国语,https://v14.qdhdcate.com/yyv14/202506/10/aW5wavAxNN19/video/index.m3u8
跤王战寇记,https://v6.qdhdcate.com/yyv6/202503/08/Sp49Y3m00C21/video/index.m3u8
迫降乌江,https://v14.qdhdcate.com/yyv14/202507/29/EctgSYZ1M820/video/index.m3u8
浴血广昌,https://v3.qdhdcate.com/yyv3/202503/26/J1iywPkKx320/video/index.m3u8
马石山十勇士,https://v5.qdhdcate.com/yyv5/202503/12/MAPF6K6CQq19/video/index.m3u8
舒加利3,https://v12.qdhdcate.com/yyv12/202408/30/AMKXk5Y6A08/video/index.m3u8
谢尔沙,https://v12.qdhdcate.com/yyv12/202408/23/7XHmwECjyB8/video/index.m3u8
战争陷阱,https://v8.qdhdcate.com/yyv8/202408/19/2J8Bq3TDKR14/video/index.m3u8
舒加利2,https://v5.qdhdcate.com/yyv5/202408/30/F3zB7LLksT7/video/index.m3u8
47号公路,https://v10.qdhdcate.com/yyv10/202408/17/Bd3pw1iLEf15/video/index.m3u8
格鲁特码头,https://v3.qdhdcate.com/yyv3/202503/29/E0pPnaJGwh24/video/index.m3u8
89年的锡比乌,https://v10.qdhdcate.com/yyv10/202408/25/u9Bg1PL2Sf15/video/index.m3u8
英雄虎胆,https://v6.qdhdcate.com/yyv6/202503/12/0qMwifaiiK20/video/index.m3u8
猎杀：生死突围,https://v9.qdhdcate.com/yyv9/202408/24/iBaCMeNC3W18/video/index.m3u8
卡尔巴拉,https://v5.qdhdcate.com/yyv5/202408/20/t7msk9p1jD7/video/index.m3u8
舒加利,https://v10.qdhdcate.com/yyv10/202408/30/UDvxkmJTpk15/video/index.m3u8#HD无字$https://v10.qdhdcate.com/yyv10/202408/30/GC3tF105Dz15/video/index.m3u8
里普哈根,https://v12.qdhdcate.com/yyv12/202408/09/9MDiCxCRj48/video/index.m3u8
寒冷的1918,https://v8.qdhdcate.com/yyv8/202407/31/uWcye7NYqj14/video/index.m3u8
支队,https://v11.qdhdcate.com/yyv11/202407/21/Jfx87qzrqA3/video/index.m3u8
大进军——大战宁沪杭,https://v11.qdhdcate.com/yyv11/202407/10/QqfbMGTLbh3/video/index.m3u8
小野田的丛林万夜,https://v12.qdhdcate.com/yyv12/202407/13/YwcqMBbrMN8/video/index.m3u8
天道王,https://v11.qdhdcate.com/yyv11/202408/20/UsyWwPJKWh3/video/index.m3u8
永远的记忆之血战黎明前,https://v12.qdhdcate.com/yyv12/202408/13/uCzR2w0eWW8/video/index.m3u8
铁血昆仑关,https://v9.qdhdcate.com/yyv9/202407/07/wBP5azHe7818/video/index.m3u8
橡树，十万火急国语,https://v11.qdhdcate.com/yyv11/202406/30/SKwmFnHfaw3/video/index.m3u8
浴火鸟,https://v10.qdhdcate.com/yyv10/202407/26/Ync50Zm7vY15/video/index.m3u8
那一天的管风琴,https://v10.qdhdcate.com/yyv10/202406/26/nMDvKiTrQ515/video/index.m3u8
1864国语,https://v10.qdhdcate.com/yyv10/202406/15/LEvYJ9HRJp15/video/index.m3u8
逃离金边,https://v10.qdhdcate.com/yyv10/202406/04/yyK2kUxkhf15/video/index.m3u8
跨过鸭绿江,https://v9.qdhdcate.com/yyv9/202406/23/kjjFnn38AU18/video/index.m3u8#第01集$https://v7.qdhdcate.com/yyv7/202309/12/x6y7NFkkTv1/video/index.m3u8#第02集$https://v7.qdhdcate.com/yyv7/202309/12/wvvKxCAidv1/video/index.m3u8#第03集$https://v7.qdhdcate.com/yyv7/202309/12/uQJXJcUPRx1/video/index.m3u8#第04集$https://v7.qdhdcate.com/yyv7/202309/12/Hejcp7zdnn1/video/index.m3u8#第05集$https://v7.qdhdcate.com/yyv7/202309/12/eDGN98LuXv1/video/index.m3u8#第06集$https://v7.qdhdcate.com/yyv7/202309/12/n1cncugTk81/video/index.m3u8#第07集$https://v7.qdhdcate.com/yyv7/202309/12/zjMAPr9wDR1/video/index.m3u8#第08集$https://v7.qdhdcate.com/yyv7/202309/12/sJ6JyZzr8x1/video/index.m3u8#第09集$https://v7.qdhdcate.com/yyv7/202309/12/1Ls5LDBCLE1/video/index.m3u8#第10集$https://v7.qdhdcate.com/yyv7/202309/12/wmTsmfFB3c1/video/index.m3u8#第11集$https://v7.qdhdcate.com/yyv7/202309/12/jZJuYP6vFk1/video/index.m3u8#第12集$https://v7.qdhdcate.com/yyv7/202309/12/MvQY7su7Ed1/video/index.m3u8#第13集$https://v7.qdhdcate.com/yyv7/202309/12/iHsbf1bLHA1/video/index.m3u8#第14集$https://v7.qdhdcate.com/yyv7/202309/12/qFtjSwkZbs1/video/index.m3u8#第15集$https://v7.qdhdcate.com/yyv7/202309/12/DHThBYeMqN1/video/index.m3u8#第16集$https://v7.qdhdcate.com/yyv7/202309/12/uAzWkXqGLS1/video/index.m3u8#第17集$https://v7.qdhdcate.com/yyv7/202309/12/MR2pfGUF161/video/index.m3u8#第18集$https://v7.qdhdcate.com/yyv7/202309/12/54EYAefvw31/video/index.m3u8#第19集$https://v7.qdhdcate.com/yyv7/202309/12/Db6CmZn1Nx1/video/index.m3u8#第20集$https://v7.qdhdcate.com/yyv7/202309/12/JTNbfXnbqQ1/video/index.m3u8#第21集$https://v7.qdhdcate.com/yyv7/202309/12/Fz41yig4hL1/video/index.m3u8#第22集$https://v7.qdhdcate.com/yyv7/202309/12/qsyRMd7SSn1/video/index.m3u8#第23集$https://v7.qdhdcate.com/yyv7/202309/12/2A95qf7ZM01/video/index.m3u8#第24集$https://v7.qdhdcate.com/yyv7/202309/12/ErvDiWXwH21/video/index.m3u8#第25集$https://v7.qdhdcate.com/yyv7/202309/12/yTHFzNFcRd1/video/index.m3u8#第26集$https://v7.qdhdcate.com/yyv7/202309/12/Ke4MaQ7YsZ1/video/index.m3u8#第27集$https://v7.qdhdcate.com/yyv7/202309/12/ySiLVH1K8L1/video/index.m3u8#第28集$https://v7.qdhdcate.com/yyv7/202309/12/FtkZyFJ81N1/video/index.m3u8#第29集$https://v7.qdhdcate.com/yyv7/202309/12/bVqVTfmxR21/video/index.m3u8#第30集$https://v7.qdhdcate.com/yyv7/202309/12/Six1HbDsbM1/video/index.m3u8#第31集$https://v7.qdhdcate.com/yyv7/202309/12/z1Wp0hvi4j1/video/index.m3u8#第32集$https://v7.qdhdcate.com/yyv7/202309/12/pFZPHFaABK1/video/index.m3u8#第33集$https://v7.qdhdcate.com/yyv7/202309/12/hmkyA65dpS1/video/index.m3u8#第34集$https://v7.qdhdcate.com/yyv7/202309/12/RRRsCKRHzd1/video/index.m3u8#第35集$https://v7.qdhdcate.com/yyv7/202309/12/3VAx59CUfS1/video/index.m3u8#第36集$https://v7.qdhdcate.com/yyv7/202309/12/KrWZPkUdFu1/video/index.m3u8#第37集$https://v7.qdhdcate.com/yyv7/202309/12/tu9p50GnXM1/video/index.m3u8#第38集$https://v7.qdhdcate.com/yyv7/202309/12/AheUB3UBGy1/video/index.m3u8#第39集$https://v7.qdhdcate.com/yyv7/202309/12/23XRU5YkrE1/video/index.m3u8#第40集$https://v7.qdhdcate.com/yyv7/202309/12/SYW9k21aqy1/video/index.m3u8
军歌嘹亮,https://v5.qdhdcate.com/yyv5/202406/23/t6d57JSqnM7/video/index.m3u8
瓦尔特保卫萨拉热窝,https://v10.qdhdcate.com/yyv10/202406/14/DnrphHsXBJ15/video/index.m3u8
徐海东喋血町店,https://v11.qdhdcate.com/yyv11/202405/31/wUeL1cgBca3/video/index.m3u8
女将军李贞浴血浏阳河,https://v10.qdhdcate.com/yyv10/202405/31/xQYdfd9rGE15/video/index.m3u8
血战许昌,https://v5.qdhdcate.com/yyv5/202407/01/XmZ0Ayjf0H7/video/index.m3u8
大捷,https://v10.qdhdcate.com/yyv10/202406/23/daXMuHaEhg15/video/index.m3u8
和平将军陶峙岳,https://v10.qdhdcate.com/yyv10/202405/30/DirRWUtSkR15/video/index.m3u8
东进序曲,https://v1.qdhdcate.com/yyv1/202405/30/YqpvxfwUrd1/video/index.m3u8
绥远之光,https://v11.qdhdcate.com/yyv11/202405/04/p8khb7Z2G53/video/index.m3u8
姚喆游击大青山,https://v4.qdhdcate.com/yyv4/202405/29/tVTLXfg1Td4/video/index.m3u8
杨成武强攻东团堡,https://v1.qdhdcate.com/yyv1/202405/30/PiEBfaPpU61/video/index.m3u8
最可爱的人,https://v7.qdhdcate.com/yyv7/202405/25/Pz0vbHfZab13/video/index.m3u8#第01集$https://v6.qdhdcate.com/yyv6/202309/06/eEkcaAgbSd1/video/index.m3u8
惊沙,https://v8.qdhdcate.com/yyv8/202405/30/w3yyVKkbcg14/video/index.m3u8
萧锋血战陈庄,https://v7.qdhdcate.com/yyv7/202405/31/wBk9GMzAJV13/video/index.m3u8
峠最后的武士,https://v2.qdhdcate.com/yyv2/202405/30/QgKzb1gkrN10/video/index.m3u8
镇海保卫战,https://v11.qdhdcate.com/yyv11/202404/23/ixP34Vtj9Y3/video/index.m3u8
太极旗飘扬,https://v12.qdhdcate.com/yyv12/202404/05/d21CgDCym68/video/index.m3u8
密林追击,https://v12.qdhdcate.com/yyv12/202404/23/pDyuMPuh7E8/video/index.m3u8
战争角落,https://v10.qdhdcate.com/yyv10/202404/23/FajVpgreyi15/video/index.m3u8
威慑与恐吓,https://v11.qdhdcate.com/yyv11/202404/02/Yfu0JsRyzR4/video/index.m3u8
绝地行走,https://v12.qdhdcate.com/yyv12/202404/17/UXg8aNLrL48/video/index.m3u8
钢铁战士,https://v11.qdhdcate.com/yyv11/202404/01/REyPPy8wqa4/video/index.m3u8
极地重生,https://v12.qdhdcate.com/yyv12/202404/03/t7RtvYnTgD5/video/index.m3u8
萧华挺进冀鲁边,https://v2.qdhdcate.com/yyv2/202405/30/CG9hbUvqMX10/video/index.m3u8
堡垒 2012,https://v12.qdhdcate.com/yyv12/202404/01/bDgwj1a2W95/video/index.m3u8
第十二个人,https://v12.qdhdcate.com/yyv12/202403/31/BnEi7qLwDG5/video/index.m3u8
许世友出拳,https://v12.qdhdcate.com/yyv12/202403/29/wzX37M07Y05/video/index.m3u8
美利坚邦联,https://v11.qdhdcate.com/yyv11/202403/23/vuXTr4iz4c4/video/index.m3u8
上帝的使者,https://v11.qdhdcate.com/yyv11/202403/21/g5mNtzp9df4/video/index.m3u8
秀水河子歼灭战,https://v11.qdhdcate.com/yyv11/202403/21/rz5Kn4kw5B4/video/index.m3u8
铁流1949,https://v11.qdhdcate.com/yyv11/202403/15/KezXTHU4hX4/video/index.m3u8
八百壮士,https://v11.qdhdcate.com/yyv11/202403/15/hLX5mWN2jU4/video/index.m3u8
烽火雁翎,https://v12.qdhdcate.com/yyv12/202403/24/uRnSKHXdiu5/video/index.m3u8
三个俘虏兵,https://v12.qdhdcate.com/yyv12/202403/27/PbjJCMhcj55/video/index.m3u8
禁忌的游戏,https://v11.qdhdcate.com/yyv11/202403/15/pCPm4akyn64/video/index.m3u8
集中营里的摄影师,https://v11.qdhdcate.com/yyv11/202403/18/PUu7WVHw4D4/video/index.m3u8
曾克林出关,https://v11.qdhdcate.com/yyv11/202403/05/LNNp3HVDUh3/video/index.m3u8
镜泊湖的枪声,https://v11.qdhdcate.com/yyv11/202403/11/4he1mc2Rzw4/video/index.m3u8
沂蒙六姐妹,https://v11.qdhdcate.com/yyv11/202403/04/T88b6sBkXS3/video/index.m3u8
男人们的大和,https://v11.qdhdcate.com/yyv11/202403/08/dSL6VHK3BR3/video/index.m3u8
灰烬与钻石,https://v11.qdhdcate.com/yyv11/202403/02/WCrdBuLeWY3/video/index.m3u8
古田会议,https://v11.qdhdcate.com/yyv11/202402/21/mF7VCGqgHB3/video/index.m3u8
勃沙特的长征,https://v11.qdhdcate.com/yyv11/202402/28/fC4YSHAUF33/video/index.m3u8
杀出重围,https://v11.qdhdcate.com/yyv11/202403/01/5xBbHfvDsc3/video/index.m3u8
长沙里：被遗忘的英雄们,https://v11.qdhdcate.com/yyv11/202402/24/kvb0pWPtSs3/video/index.m3u8
挺进中原,https://v11.qdhdcate.com/yyv11/202402/28/QN4z5QM7D13/video/index.m3u8
盘尼西林1944,https://v11.qdhdcate.com/yyv11/202402/17/bUfwAYk7NC3/video/index.m3u8
抵抗！抵抗！,https://v11.qdhdcate.com/yyv11/202402/20/BCyryGVVAn3/video/index.m3u8
冷枪,https://v11.qdhdcate.com/yyv11/202402/08/sVsqit0HJk3/video/index.m3u8
小花,https://v11.qdhdcate.com/yyv11/202402/21/DBp6rrut4r3/video/index.m3u8
深入敌后：危险营救,https://v3.qdhdcate.com/yyv3/202402/02/3ydwX7p7Qq2/video/index.m3u8
无懈可击,https://v11.qdhdcate.com/yyv11/202402/15/HXEh7c53GK3/video/index.m3u8
黄桥决战,https://v3.qdhdcate.com/yyv3/202402/04/am5h4Dva3U2/video/index.m3u8
尖刀班,https://v3.qdhdcate.com/yyv3/202402/02/TxLv1bGUj12/video/index.m3u8
天福山起义,https://v3.qdhdcate.com/yyv3/202402/04/q4mLrksUpr2/video/index.m3u8
闽赣风云,https://v3.qdhdcate.com/yyv3/202402/04/gp435mE9t92/video/index.m3u8
杨思禄冀东抗战,https://v3.qdhdcate.com/yyv3/202401/30/eSUR4W6WCJ2/video/index.m3u8
血战漫川关,https://v3.qdhdcate.com/yyv3/202401/30/9atw51Ha502/video/index.m3u8
