演唱会,#genre#
湾区升明月 2024大湾区电影音乐晚会,https://v10.qdhdcate.com/yyv10/202409/23/Ce2fxCRUM315/video/index.m3u8
学友.光年世界巡回演唱会,https://v10.qdhdcate.com/yyv10/202404/18/VxMiffQa2F15/video/index.m3u8
张学友1/2世纪世界巡回演唱会,https://v12.qdhdcate.com/yyv12/202404/18/nfZThbgfWz8/video/index.m3u8
张学友95友学友演唱会,https://v10.qdhdcate.com/yyv10/202404/18/iycrpU1qaF15/video/index.m3u8
2001刘德华夏日Fiesta演唱会,https://v11.qdhdcate.com/yyv11/202404/18/EGKNR1GuEH3/video/index.m3u8
刘德华:奇妙世界2007香港演唱会,https://v10.qdhdcate.com/yyv10/202404/18/1jALZk8PX515/video/index.m3u8
刘德华“把我唱给你听”线上演唱会,https://v10.qdhdcate.com/yyv10/202404/18/dr06Tm1rxB15/video/index.m3u8
刘德华Unforgettable中国巡回演唱会2011,https://v12.qdhdcate.com/yyv12/202404/18/PXF9QKU9628/video/index.m3u8
张学友醒着做梦音乐会,https://v11.qdhdcate.com/yyv11/202404/18/WkCCA9iNvt3/video/index.m3u8
张学友2002音乐之旅世界巡回演唱会,https://v12.qdhdcate.com/yyv12/202404/18/4VqXxa5jE58/video/index.m3u8
AClassicTour学友.经典世界巡回演唱会,https://v11.qdhdcate.com/yyv11/202404/18/VSqZ0WwQmN3/video/index.m3u8
刘德华中国巡回演唱会上海站2008,https://v11.qdhdcate.com/yyv11/202404/18/UvgXdU0yh53/video/index.m3u8
刘德华1999爱你一万年香港演唱会,https://v11.qdhdcate.com/yyv11/202404/18/T7Tg16KvkY3/video/index.m3u8
邓丽君香港利舞台演唱会1976,https://v3.qdhdcate.com/yyv3/202401/23/LQ7XfkgC4V2/video/index.m3u8
邓丽君1982伊丽莎白体育馆演唱会,https://v3.qdhdcate.com/yyv3/202401/23/XqeYXFdgyN2/video/index.m3u8
山歌响起的地方刀郎知交线上演唱会,https://v8.qdhdcate.com/yyv8/202408/31/Ddsnf28yEG14/video/index.m3u8
小杨臻选群星演唱会,https://v3.qdhdcate.com/yyv3/202311/27/C0LC2nYYZ32/video/index.m3u8
邓丽君：十五周年香港巡回演唱会1983,https://v3.qdhdcate.com/yyv3/202401/23/CQVvaVutdw2/video/index.m3u8
阿黛尔伦敦爱尔伯特音乐厅演唱会,https://v11.qdhdcate.com/yyv11/202403/15/atPrnnCABh4/video/index.m3u8
刘德华震撼红馆跨年演唱会2010,https://v12.qdhdcate.com/yyv12/202404/18/MMj4E9fsRr8/video/index.m3u8
拾下拾下,https://v5.qdhdcate.com/yyv5/202310/14/ZmvWYtrStj1/video/index.m3u8
黄子华栋笃笑双打之玩无可玩,https://v5.qdhdcate.com/yyv5/202310/14/kZNE2KF7t61/video/index.m3u8
秋前算账,https://v5.qdhdcate.com/yyv5/202310/14/VbNeu8ztUU1/video/index.m3u8
跟住去边度,https://v5.qdhdcate.com/yyv5/202310/14/6n21jxqg0V1/video/index.m3u8
娱乐圈血肉史2,https://v5.qdhdcate.com/yyv5/202310/14/5djNr2Dvm61/video/index.m3u8#第02集$https://v5.qdhdcate.com/yyv5/202310/14/6hxwHtRkQP1/video/index.m3u8
须根ShowⅡ,https://v5.qdhdcate.com/yyv5/202310/14/UzsryYy9ny1/video/index.m3u8
黃子華栋笃笑之色情家庭,https://v5.qdhdcate.com/yyv5/202310/14/z1rKTt9RAk1/video/index.m3u8
须根Show,https://v5.qdhdcate.com/yyv5/202310/14/J1cbqtPuC01/video/index.m3u8
黄子华栋笃笑之冇炭用,https://v5.qdhdcate.com/yyv5/202310/14/d6b5Xkeie81/video/index.m3u8
哗众取宠,https://v5.qdhdcate.com/yyv5/202310/14/dkhSkqvmTt1/video/index.m3u8
越大镬越快乐,https://v5.qdhdcate.com/yyv5/202310/14/SyZUR5ffft1/video/index.m3u8
唔痴线唔正常,https://v5.qdhdcate.com/yyv5/202310/14/wPPb1Ad8Rq1/video/index.m3u8
黄子华栋笃笑之金盆,https://v5.qdhdcate.com/yyv5/202310/14/cp2da8eP1q1/video/index.m3u8
黃子華棟篤笑之末世財神,https://v5.qdhdcate.com/yyv5/202310/14/0MRD8WzPHt1/video/index.m3u8
黄子华栋笃笑之洗燥,https://v5.qdhdcate.com/yyv5/202310/14/Jj6wmFR1B31/video/index.m3u8
