爱情片,#genre#
真的爱你,https://v13.qdhdcate.com/yyv13/202508/18/2d2mw2YJC624/video/index.m3u8
初吻,https://v14.qdhdcate.com/yyv14/202508/28/psT52KLTrB20/video/index.m3u8
一吻定情电影版1：高中篇,https://v13.qdhdcate.com/yyv13/202508/24/n61t9gYrSZ20/video/index.m3u8
有朵云像你,https://v14.qdhdcate.com/yyv14/202509/05/BiKifDbq0E20/video/index.m3u8
信仰和同性恋恐惧,https://v14.qdhdcate.com/yyv14/202508/16/SpRHN9dWqp19/video/index.m3u8
愿你在此,https://v14.qdhdcate.com/yyv14/202508/15/WmVBaU397M21/video/index.m3u8
圣诞结,https://v14.qdhdcate.com/yyv14/202508/17/cDNCiu8aAV24/video/index.m3u8
不认识的女友,https://v13.qdhdcate.com/yyv13/202509/05/pn0tq0Wdyh19/video/index.m3u8
最美不是下雨天,https://v14.qdhdcate.com/yyv14/202508/15/2D0F48etp721/video/index.m3u8
西城童话,https://v14.qdhdcate.com/yyv14/202508/16/eDnPtuYimf22/video/index.m3u8
德古拉,https://v14.qdhdcate.com/yyv14/202508/09/wqeA0LcpPu21/video/index.m3u8#第01集$https://v2.qdhdcate.com/yyv2/202308/22/3eCBaZei4t2/video/index.m3u8#第02集$https://v2.qdhdcate.com/yyv2/202308/22/c17KThPFc92/video/index.m3u8#第03集$https://v2.qdhdcate.com/yyv2/202308/22/1kJnzRkzPm2/video/index.m3u8
阿公的毕业旅行,https://v13.qdhdcate.com/yyv13/202508/09/24VJHjLNqm19/video/index.m3u8
夜叉池,https://v13.qdhdcate.com/yyv13/202508/08/AHbBHAw2cP19/video/index.m3u8
傀儡姬·彼岸花,https://v13.qdhdcate.com/yyv13/202508/06/4myjY8KLdR20/video/index.m3u8
余生多指教,https://v14.qdhdcate.com/yyv14/202508/03/xGraYF1Cuy24/video/index.m3u8
王子配婚记,https://v14.qdhdcate.com/yyv14/202507/31/kQJJZduR3g24/video/index.m3u8
坦诚谈爱情,https://v14.qdhdcate.com/yyv14/202507/30/abgCwUiefR19/video/index.m3u8
重回蓝色珊瑚礁,https://v14.qdhdcate.com/yyv14/202507/26/18uvbr56Lr21/video/index.m3u8
歪打正好,https://v13.qdhdcate.com/yyv13/202507/31/Ttr9MSBran21/video/index.m3u8
南太平洋,https://v13.qdhdcate.com/yyv13/202507/25/ea7jh0Y5g920/video/index.m3u8
真爱营业,https://v13.qdhdcate.com/yyv13/202505/31/jCz03ajQ3t24/video/index.m3u8
简·奥斯汀毁了我的生活,https://v13.qdhdcate.com/yyv13/202507/07/vsCYSjMjya24/video/index.m3u8
蓬岛仙舞,https://v14.qdhdcate.com/yyv14/202507/25/W4yi3SgXCF22/video/index.m3u8
琼和约翰,https://v5.qdhdcate.com/yyv5/202504/30/b29ej277Ni23/video/index.m3u8
性梦爱三部曲：爱,https://v5.qdhdcate.com/yyv5/202505/09/TjpQD7nKTp23/video/index.m3u8
常在我心粤语,https://v13.qdhdcate.com/yyv13/202505/29/RX7ShRhva424/video/index.m3u8
海的沉默,https://v4.qdhdcate.com/yyv4/202505/03/4LF4pPWzPF23/video/index.m3u8
异女身,https://v13.qdhdcate.com/yyv13/202505/31/9yA8ad4YMW23/video/index.m3u8
流金岁月粤语,https://v5.qdhdcate.com/yyv5/202504/11/KeTqc7yEh419/video/index.m3u8#第01集$https://v2.qdhdcate.com/yyv2/202308/16/sTYWYWfVSC2/video/index.m3u8#第02集$https://v2.qdhdcate.com/yyv2/202308/16/0trGKVEzAv2/video/index.m3u8#第03集$https://v2.qdhdcate.com/yyv2/202308/16/NUhVx3LjJN2/video/index.m3u8#第04集$https://v2.qdhdcate.com/yyv2/202308/16/eaDFUw5rK82/video/index.m3u8#第05集$https://v2.qdhdcate.com/yyv2/202308/16/xvzzaXcuFV2/video/index.m3u8#第06集$https://v2.qdhdcate.com/yyv2/202308/16/vt2W3nXKWs2/video/index.m3u8#第07集$https://v2.qdhdcate.com/yyv2/202308/16/AusjK8wGus2/video/index.m3u8#第08集$https://v2.qdhdcate.com/yyv2/202308/16/GhbhneJCRE2/video/index.m3u8#第09集$https://v2.qdhdcate.com/yyv2/202308/16/JVfsZ09PrF2/video/index.m3u8#第10集$https://v2.qdhdcate.com/yyv2/202308/16/iNUAf0PHuN2/video/index.m3u8#第11集$https://v2.qdhdcate.com/yyv2/202308/16/CBGvEWt6Dx2/video/index.m3u8#第12集$https://v2.qdhdcate.com/yyv2/202308/16/FYQRdUJX1s2/video/index.m3u8#第13集$https://v2.qdhdcate.com/yyv2/202308/16/Q1xnqkWcJr2/video/index.m3u8#第14集$https://v2.qdhdcate.com/yyv2/202308/17/Yq93vGNRJM2/video/index.m3u8#第15集$https://v2.qdhdcate.com/yyv2/202308/17/94L88iL7X12/video/index.m3u8#第16集$https://v2.qdhdcate.com/yyv2/202308/17/qgu511HCxP2/video/index.m3u8#第17集$https://v2.qdhdcate.com/yyv2/202308/17/kxWa80nHiu2/video/index.m3u8#第18集$https://v2.qdhdcate.com/yyv2/202308/17/ijD8Ar6vRN2/video/index.m3u8#第19集$https://v2.qdhdcate.com/yyv2/202308/18/1tdLJvyhTv2/video/index.m3u8#第20集$https://v2.qdhdcate.com/yyv2/202308/16/schTQVpFDc2/video/index.m3u8#第21集$https://v2.qdhdcate.com/yyv2/202308/16/Rn7VKBcAuy2/video/index.m3u8#第22集$https://v2.qdhdcate.com/yyv2/202308/18/6MUUGBB3xw2/video/index.m3u8#第23集$https://v2.qdhdcate.com/yyv2/202308/18/Wp5Wu3SkDx2/video/index.m3u8#第24集$https://v2.qdhdcate.com/yyv2/202308/16/0iNMxDsth22/video/index.m3u8#第25集$https://v2.qdhdcate.com/yyv2/202308/18/EqnXJi5Gr52/video/index.m3u8#第26集$https://v2.qdhdcate.com/yyv2/202308/18/MmUvfvb6th2/video/index.m3u8#第27集$https://v2.qdhdcate.com/yyv2/202308/16/3DhPRymRyu2/video/index.m3u8#第28集$https://v2.qdhdcate.com/yyv2/202308/18/DXyQQyrCqp2/video/index.m3u8#第29集$https://v2.qdhdcate.com/yyv2/202308/18/3Hg9SiCyFd2/video/index.m3u8#第30集$https://v2.qdhdcate.com/yyv2/202308/18/G4efFVzyMb2/video/index.m3u8#第31集$https://v2.qdhdcate.com/yyv2/202308/16/g0TMX0CASd2/video/index.m3u8#第32集$https://v2.qdhdcate.com/yyv2/202308/16/xMbccLm1ee2/video/index.m3u8#第33集$https://v2.qdhdcate.com/yyv2/202308/16/Y3WcvzRNkb2/video/index.m3u8#第34集$https://v2.qdhdcate.com/yyv2/202308/16/nKwC15dbsV2/video/index.m3u8#第35集$https://v2.qdhdcate.com/yyv2/202308/16/UaaGJ2myx62/video/index.m3u8#第36集$https://v2.qdhdcate.com/yyv2/202308/16/gdLhANHtms2/video/index.m3u8#第37集$https://v2.qdhdcate.com/yyv2/202308/16/ngiB2nfJfj2/video/index.m3u8#第38集$https://v2.qdhdcate.com/yyv2/202308/16/ZCbeV1tY6Y2/video/index.m3u8#第39集$https://v2.qdhdcate.com/yyv2/202308/16/jgskg8GvCH2/video/index.m3u8#第40集$https://v2.qdhdcate.com/yyv2/202308/16/73pFHuLfQx2/video/index.m3u8#第41集$https://v2.qdhdcate.com/yyv2/202308/16/nvsSDesEgV2/video/index.m3u8#第42集$https://v2.qdhdcate.com/yyv2/202308/16/kXNpd4R1932/video/index.m3u8
最后的爱，最初的爱,https://v6.qdhdcate.com/yyv6/202503/26/9kuw7zfGN920/video/index.m3u8
一见钟情国语,https://v5.qdhdcate.com/yyv5/202504/06/d06TZypQLR24/video/index.m3u8
栀子花开,https://v3.qdhdcate.com/yyv3/202503/26/c4byr1Lumv24/video/index.m3u8
短信一月追,https://v5.qdhdcate.com/yyv5/202503/26/tG1wRkVTw322/video/index.m3u8
流金岁月国语,https://v5.qdhdcate.com/yyv5/202504/11/LfnJBENCu021/video/index.m3u8#第01集$https://v2.qdhdcate.com/yyv2/202308/21/rEASkEqzuQ2/video/index.m3u8#第02集$https://v2.qdhdcate.com/yyv2/202308/21/YWMei4DsFU2/video/index.m3u8#第03集$https://v2.qdhdcate.com/yyv2/202308/21/hmxhNbLJg92/video/index.m3u8#第04集$https://v2.qdhdcate.com/yyv2/202308/21/BxSEjiFW6Y2/video/index.m3u8#第05集$https://v2.qdhdcate.com/yyv2/202308/21/7FA2ccGS0N2/video/index.m3u8#第06集$https://v2.qdhdcate.com/yyv2/202308/21/cWZPDdFRHS2/video/index.m3u8#第07集$https://v2.qdhdcate.com/yyv2/202308/21/piDbRT5WN12/video/index.m3u8#第08集$https://v2.qdhdcate.com/yyv2/202308/21/aqzhZ4UGXJ2/video/index.m3u8#第09集$https://v2.qdhdcate.com/yyv2/202308/21/rz7i2JubPn2/video/index.m3u8#第10集$https://v2.qdhdcate.com/yyv2/202308/21/ydnDjLfYJT2/video/index.m3u8#第11集$https://v2.qdhdcate.com/yyv2/202308/21/NRVa3czX9m2/video/index.m3u8#第12集$https://v2.qdhdcate.com/yyv2/202308/21/cpnFn0j1mi2/video/index.m3u8#第13集$https://v2.qdhdcate.com/yyv2/202308/21/Wdnud4kZvL2/video/index.m3u8#第14集$https://v2.qdhdcate.com/yyv2/202308/21/VZTfWkAHkm2/video/index.m3u8#第15集$https://v2.qdhdcate.com/yyv2/202308/21/Nzi4EwCQxh2/video/index.m3u8#第16集$https://v2.qdhdcate.com/yyv2/202308/21/2bNxp5NUe42/video/index.m3u8#第17集$https://v2.qdhdcate.com/yyv2/202308/21/G5C2RjKMFt2/video/index.m3u8#第18集$https://v2.qdhdcate.com/yyv2/202308/21/F8zRdvqGPi2/video/index.m3u8#第19集$https://v2.qdhdcate.com/yyv2/202308/21/3qLtjsG7sB2/video/index.m3u8#第20集$https://v2.qdhdcate.com/yyv2/202308/21/w3BwXh6KD82/video/index.m3u8#第21集$https://v2.qdhdcate.com/yyv2/202308/21/gUfjdtweEP2/video/index.m3u8#第22集$https://v2.qdhdcate.com/yyv2/202308/21/RW1vZ9ckFE2/video/index.m3u8#第23集$https://v2.qdhdcate.com/yyv2/202308/21/nL7QTzYv9t2/video/index.m3u8#第24集$https://v2.qdhdcate.com/yyv2/202308/21/2bPzsHDw7b2/video/index.m3u8#第25集$https://v2.qdhdcate.com/yyv2/202308/21/jjn8YCThiR2/video/index.m3u8#第26集$https://v2.qdhdcate.com/yyv2/202308/21/snNxyxeY0F2/video/index.m3u8#第27集$https://v2.qdhdcate.com/yyv2/202308/21/vdzwUPeXNc2/video/index.m3u8#第28集$https://v2.qdhdcate.com/yyv2/202308/21/F1NKeWc9DB2/video/index.m3u8#第29集$https://v2.qdhdcate.com/yyv2/202308/21/Nsta4Hqp4L2/video/index.m3u8#第30集$https://v2.qdhdcate.com/yyv2/202308/21/bAKVyK7nkp2/video/index.m3u8#第31集$https://v2.qdhdcate.com/yyv2/202308/21/3zvucGh4kL2/video/index.m3u8#第32集$https://v2.qdhdcate.com/yyv2/202308/21/TKxgmTL8t12/video/index.m3u8#第33集$https://v2.qdhdcate.com/yyv2/202308/21/nCw2vJvWbn2/video/index.m3u8#第34集$https://v2.qdhdcate.com/yyv2/202308/21/Ana8ntZaEb2/video/index.m3u8#第35集$https://v2.qdhdcate.com/yyv2/202308/21/9h8DgHrM6H2/video/index.m3u8#第36集$https://v2.qdhdcate.com/yyv2/202308/21/0hL0LJtapu2/video/index.m3u8#第37集$https://v2.qdhdcate.com/yyv2/202308/21/v6c69t83sR2/video/index.m3u8#第38集$https://v2.qdhdcate.com/yyv2/202308/21/L8te8PCWka2/video/index.m3u8#第39集$https://v2.qdhdcate.com/yyv2/202308/21/Vsg2rUV4rS2/video/index.m3u8#第40集$https://v2.qdhdcate.com/yyv2/202308/21/Zy5EWauYNB2/video/index.m3u8#第41集$https://v2.qdhdcate.com/yyv2/202308/21/a31LeK20vE2/video/index.m3u8#第42集$https://v2.qdhdcate.com/yyv2/202308/21/nchE2NvEKS2/video/index.m3u8#第43集$https://v2.qdhdcate.com/yyv2/202308/21/cY6QTb84Qk2/video/index.m3u8#第44集$https://v2.qdhdcate.com/yyv2/202308/21/6AAF5BEvkj2/video/index.m3u8#第45集$https://v2.qdhdcate.com/yyv2/202308/21/XbHKV6f52r2/video/index.m3u8
关于我妻子的一切,https://v13.qdhdcate.com/yyv13/202506/02/a2MhnPSmWN23/video/index.m3u8
迷情错爱,https://v5.qdhdcate.com/yyv5/202503/26/XHL6yPigQW19/video/index.m3u8
新恋爱世纪粤语,https://v5.qdhdcate.com/yyv5/202504/13/tqr55R6KSc22/video/index.m3u8
朱丽叶与罗密欧2025,https://v13.qdhdcate.com/yyv13/202506/04/A5y7WfhP8422/video/index.m3u8
爱情有约,https://v6.qdhdcate.com/yyv6/202504/02/p2WDFvQsB323/video/index.m3u8
匆匆那些年,https://v6.qdhdcate.com/yyv6/202503/26/yTs0pYH8wT24/video/index.m3u8
