篮球,#genre#
7月20日 2025NBA夏季联赛 奇才VS尼克斯,https://v14.qdhdcate.com/yyv14/202507/20/cJxm09Xn6D22/video/index.m3u8
7月21日 2025NBA夏季联赛 国王VS黄蜂,https://v14.qdhdcate.com/yyv14/202507/21/ycgV41KKBz22/video/index.m3u8
7月21日 2025NBA夏季联赛 灰熊VS快船,https://v14.qdhdcate.com/yyv14/202507/21/DWf9FBCY0U22/video/index.m3u8
7月20日 2025NBA夏季联赛 火箭VS森林狼,https://v13.qdhdcate.com/yyv13/202507/20/LvCBUVFLph22/video/index.m3u8
7月20日 2025NBA夏季联赛 国王VS猛龙,https://v14.qdhdcate.com/yyv14/202507/20/s3mwTpq5ui21/video/index.m3u8
7月20日 2025NBA夏季联赛 活塞VS马刺,https://v14.qdhdcate.com/yyv14/202507/20/G9HD1kizTf21/video/index.m3u8
7月20日 2025NBA夏季联赛 骑士VS勇士,https://v14.qdhdcate.com/yyv14/202507/20/rBKGkf7BaE21/video/index.m3u8
7月20日 2025NBA夏季联赛 开拓者VS太阳,https://v13.qdhdcate.com/yyv13/202507/20/Uw5yUh2SQ623/video/index.m3u8
7月20日 2025NBA夏季联赛 黄蜂VS雷霆,https://v14.qdhdcate.com/yyv14/202507/20/EnW8YQGUdZ19/video/index.m3u8
7月21日 2025NBA夏季联赛 老鹰VS凯尔特人,https://v14.qdhdcate.com/yyv14/202507/21/ehLjtUH04T20/video/index.m3u8
7月19日 2025NBA夏季联赛 独行侠VS魔术,https://v14.qdhdcate.com/yyv14/202507/19/tDcugNs5bn24/video/index.m3u8
7月19日 2025NBA夏季联赛 热火VS雄鹿,https://v13.qdhdcate.com/yyv13/202507/19/3RnZV1kdwq22/video/index.m3u8
7月19日 2025NBA夏季联赛 步行者VS鹈鹕,https://v13.qdhdcate.com/yyv13/202507/19/GPZv9KBqhZ22/video/index.m3u8
7月19日 2025NBA夏季联赛 掘金VS湖人,https://v13.qdhdcate.com/yyv13/202507/19/xwLHAxE4Jm24/video/index.m3u8
7月18日 2025NBA夏季联赛 步行者VS尼克斯,https://v13.qdhdcate.com/yyv13/202507/18/8ZNz6M7YX924/video/index.m3u8
7月19日 2025NBA夏季联赛 76人VS篮网,https://v13.qdhdcate.com/yyv13/202507/19/8rArjb36HB19/video/index.m3u8
7月18日 2025NBA夏季联赛 活塞VS热火,https://v13.qdhdcate.com/yyv13/202507/18/8gJRbTgqGW23/video/index.m3u8
7月19日 2025NBA夏季联赛 爵士VS公牛,https://v13.qdhdcate.com/yyv13/202507/19/G3XRDMv11P24/video/index.m3u8
7月18日 2025NBA夏季联赛 勇士VS猛龙,https://v14.qdhdcate.com/yyv14/202507/18/MRkKptkbaw24/video/index.m3u8
7月18日 2025NBA夏季联赛 老鹰VS灰熊,https://v14.qdhdcate.com/yyv14/202507/18/kNK3Yf2ety23/video/index.m3u8
7月18日 2025NBA夏季联赛 马刺VS黄蜂,https://v14.qdhdcate.com/yyv14/202507/18/0sFuAPq8fk22/video/index.m3u8
7月17日 2025NBA夏季联赛 国王VS骑士,https://v13.qdhdcate.com/yyv13/202507/17/VJWqyiueVa21/video/index.m3u8
7月17日 2025NBA夏季联赛 鹈鹕VS雷霆,https://v13.qdhdcate.com/yyv13/202507/17/z3vFjvWXtd21/video/index.m3u8
7月18日 2025NBA夏季联赛 凯尔特人VS湖人,https://v14.qdhdcate.com/yyv14/202507/18/DU4yAz8JUD19/video/index.m3u8
7月18日 2025NBA夏季联赛 掘金VS快船,https://v13.qdhdcate.com/yyv13/202507/18/LEsXs1gaGd20/video/index.m3u8
7月18日 2025NBA夏季联赛 开拓者VS火箭,https://v13.qdhdcate.com/yyv13/202507/18/Ungmkx3q0619/video/index.m3u8
7月17日 2025NBA夏季联赛 奇才VS爵士,https://v13.qdhdcate.com/yyv13/202507/17/wPgFA3xLqv23/video/index.m3u8
7月17日 2025NBA夏季联赛 独行侠VS76人,https://v14.qdhdcate.com/yyv14/202507/17/XZd6havM7c24/video/index.m3u8
7月17日 2025NBA夏季联赛 太阳VS森林狼,https://v14.qdhdcate.com/yyv14/202507/17/1ajTcmWDLu20/video/index.m3u8
7月17日 2025NBA夏季联赛 魔术VS篮网,https://v13.qdhdcate.com/yyv13/202507/17/AwpeFCNAM119/video/index.m3u8
7月16日 2025NBA夏季联赛 森林狼VS活塞,https://v13.qdhdcate.com/yyv13/202507/16/jBrYCRdqnG23/video/index.m3u8
