足球,#genre#
8月31日 25-26赛季法甲第3轮 摩纳哥VS斯特拉斯堡,https://v13.qdhdcate.com/yyv13/202509/01/YKRcCYrPGS23/video/index.m3u8
9月1日 25-26赛季西甲第3轮 西班牙人VS奥萨苏纳,https://v13.qdhdcate.com/yyv13/202509/01/9TECZaixWY21/video/index.m3u8
8月31日 25-26赛季英超第3轮 利物浦VS阿森纳,https://v14.qdhdcate.com/yyv14/202509/01/c7vY9J0mYx21/video/index.m3u8
9月1日 25-26赛季西甲第3轮 皇家贝蒂斯VS毕尔巴鄂竞技,https://v14.qdhdcate.com/yyv14/202509/01/hBm7GgFvQV24/video/index.m3u8
9月1日 25-26赛季德甲第2轮 科隆VS弗赖堡,https://v13.qdhdcate.com/yyv13/202509/01/wy9KdAUn9d24/video/index.m3u8
9月1日 25-26赛季意甲第2轮 国际米兰VS乌迪内斯,https://v13.qdhdcate.com/yyv13/202509/01/MuCKB0QDrc21/video/index.m3u8
9月1日 25-26赛季意甲第2轮 热那亚VS尤文图斯,https://v14.qdhdcate.com/yyv14/202509/01/ZCrjKY6PLC19/video/index.m3u8
8月31日 25-26赛季德甲第2轮 沃尔夫斯堡VS美因茨,https://v13.qdhdcate.com/yyv13/202509/01/GwsbvYYpDe20/video/index.m3u8
9月1日 25-26赛季意甲第2轮 都灵VS佛罗伦萨,https://v13.qdhdcate.com/yyv13/202509/01/ZpT5n5XkAi20/video/index.m3u8
8月31日 25-26赛季法甲第3轮 昂热VS雷恩,https://v14.qdhdcate.com/yyv14/202509/01/70XqaiG19b22/video/index.m3u8
8月31日 25-26赛季法甲第3轮 巴黎FCVS梅斯,https://v14.qdhdcate.com/yyv14/202509/01/XxzReCJK4424/video/index.m3u8
9月1日 25-26赛季意甲第2轮 拉齐奥VS维罗纳,https://v14.qdhdcate.com/yyv14/202509/01/uvgEvS8Yuu20/video/index.m3u8
8月31日 25-26赛季西甲第3轮 塞尔塔VS比利亚雷亚尔,https://v13.qdhdcate.com/yyv13/202509/01/QKW0Ys19DV21/video/index.m3u8
9月1日 25-26赛季法甲第3轮 里昂VS马赛,https://v14.qdhdcate.com/yyv14/202509/01/MTfieMY4i521/video/index.m3u8
9月1日 25-26赛季英超第3轮 阿斯顿维拉VS水晶宫,https://v13.qdhdcate.com/yyv13/202509/01/CcM9ZpD38M24/video/index.m3u8
9月1日 25-26赛季西甲第3轮 巴列卡诺VS巴塞罗那,https://v14.qdhdcate.com/yyv14/202509/01/8qtETwQAHM21/video/index.m3u8
8月31日 25-26赛季英超第3轮 诺丁汉森林VS西汉姆联,https://v13.qdhdcate.com/yyv13/202509/01/t71Yh3rHhg22/video/index.m3u8
8月31日 25-26赛季英超第3轮 布莱顿VS曼城,https://v14.qdhdcate.com/yyv14/202509/01/gxGfXqbKmU21/video/index.m3u8
8月31日 25-26赛季德甲第2轮 多特蒙德VS柏林联合,https://v14.qdhdcate.com/yyv14/202509/01/rJNTtC7qm322/video/index.m3u8
8月31日 25-26赛季法甲第3轮 勒阿弗尔VS尼斯,https://v14.qdhdcate.com/yyv14/202509/01/V9BpcWn36n20/video/index.m3u8
8月31日 25-26赛季法甲第3轮 图卢兹VS巴黎圣日耳曼,https://v14.qdhdcate.com/yyv14/202508/31/jqciNFLG4h23/video/index.m3u8
8月31日 25-26赛季意甲第2轮 那不勒斯VS卡利亚里,https://v13.qdhdcate.com/yyv13/202508/31/nbkWXv17ma24/video/index.m3u8
8月30日 25-26赛季英超第3轮 切尔西VS富勒姆,https://v13.qdhdcate.com/yyv13/202508/31/rvJCSF3ZVc24/video/index.m3u8
8月31日 25-26赛季意甲第2轮 博洛尼亚VS科莫,https://v14.qdhdcate.com/yyv14/202508/31/wJX9GyFHCx21/video/index.m3u8
8月31日 25-26赛季意甲第2轮 帕尔马VS亚特兰大,https://v14.qdhdcate.com/yyv14/202508/31/q4YDYz4bfk22/video/index.m3u8
8月31日 25-26赛季德甲第2轮 奥格斯堡VS拜仁慕尼黑,https://v13.qdhdcate.com/yyv13/202508/31/CLEKLQYmrc24/video/index.m3u8
8月31日 25-26赛季西甲第3轮 赫罗纳VS塞维利亚,https://v14.qdhdcate.com/yyv14/202508/31/T2tDCy1Evs21/video/index.m3u8
8月31日 25-26赛季法甲第3轮 南特VS欧塞尔,https://v13.qdhdcate.com/yyv13/202508/31/dayYJGASnZ19/video/index.m3u8
8月30日 25-26赛季德甲第2轮 RB莱比锡VS海登海姆,https://v14.qdhdcate.com/yyv14/202508/31/K5ZMnEp7SF24/video/index.m3u8
8月30日 25-26赛季英超第3轮 狼队VS埃弗顿,https://v14.qdhdcate.com/yyv14/202508/31/NVm3q27U7624/video/index.m3u8
8月30日 25-26赛季法甲第3轮 朗斯VS布雷斯特,https://v14.qdhdcate.com/yyv14/202508/31/2fs67qHpfA20/video/index.m3u8
8月30日 25-26赛季德甲第2轮 汉堡VS圣保利,https://v14.qdhdcate.com/yyv14/202508/31/M9r33B56gY19/video/index.m3u8
8月30日 25-26赛季意甲第2轮 莱切VSAC米兰,https://v13.qdhdcate.com/yyv13/202508/31/iiW0VxcKZe19/video/index.m3u8
8月30日 25-26赛季西甲第3轮 埃尔切VS莱万特,https://v14.qdhdcate.com/yyv14/202508/31/QzZtapL0dG21/video/index.m3u8
8月31日 25-26赛季西甲第3轮 皇家马德里VS马洛卡,https://v13.qdhdcate.com/yyv13/202508/31/Ns984x95EZ22/video/index.m3u8
8月30日 25-26赛季法甲第3轮 洛里昂VS里尔,https://v13.qdhdcate.com/yyv13/202508/31/RVV5KnkrYa21/video/index.m3u8
8月30日 25-26赛季西甲第3轮 瓦伦西亚VS赫塔费,https://v13.qdhdcate.com/yyv13/202508/31/wSX9MJvTxj20/video/index.m3u8
8月30日 25-26赛季英超第3轮 热刺VS伯恩茅斯,https://v13.qdhdcate.com/yyv13/202508/31/wpvpQLp60E23/video/index.m3u8
8月30日 25-26赛季英超第3轮 桑德兰VS布伦特福德,https://v14.qdhdcate.com/yyv14/202508/31/NBzHDBH7rE23/video/index.m3u8
8月28日 25-26赛季西甲第6轮 塞尔塔VS皇家贝蒂斯,https://v13.qdhdcate.com/yyv13/202508/31/fMwR8MbAir23/video/index.m3u8
8月31日 25-26赛季意甲第2轮 比萨VS罗马,https://v14.qdhdcate.com/yyv14/202508/31/LVLnUE7VqZ22/video/index.m3u8
8月30日 25-26赛季西甲第3轮 阿拉维斯VS马德里竞技,https://v14.qdhdcate.com/yyv14/202508/31/RsUzTH58JW19/video/index.m3u8
8月31日 25-26赛季英超第3轮 利兹联VS纽卡斯尔联,https://v14.qdhdcate.com/yyv14/202508/31/LZXzDVDiW719/video/index.m3u8
8月30日 25-26赛季德甲第2轮 霍芬海姆VS法兰克福,https://v13.qdhdcate.com/yyv13/202508/31/r9N2XPBpXu20/video/index.m3u8
8月30日 25-26赛季德甲第2轮 不莱梅VS勒沃库森,https://v14.qdhdcate.com/yyv14/202508/31/x5fKbsNwU323/video/index.m3u8
8月30日 25-26赛季德甲第2轮 斯图加特VS门兴,https://v13.qdhdcate.com/yyv13/202508/31/0p9Q9ypWmr24/video/index.m3u8
8月30日 25-26赛季英超第3轮 曼联VS伯恩利,https://v14.qdhdcate.com/yyv14/202508/31/Wzyvbs2Dzd24/video/index.m3u8
8月30日 25-26赛季意甲第2轮 克雷莫纳VS萨索洛,https://v13.qdhdcate.com/yyv13/202508/31/57XRZJvax722/video/index.m3u8
8月24日 25-26赛季西甲第2轮 奥萨苏纳VS瓦伦西亚,https://v14.qdhdcate.com/yyv14/202508/25/CZY06ffRa422/video/index.m3u8
8月31日 25-26赛季西甲第3轮 皇家奥维耶多VS皇家社会,https://v13.qdhdcate.com/yyv13/202508/31/HzPHR2ruks24/video/index.m3u8
8月26日 25-26赛季英超第2轮 纽卡斯尔联VS利物浦,https://v14.qdhdcate.com/yyv14/202508/26/JjBWJV6y9K23/video/index.m3u8
8月26日 25-26赛季西甲第2轮 毕尔巴鄂竞技VS巴列卡诺,https://v14.qdhdcate.com/yyv14/202508/26/wduKVHe9kr19/video/index.m3u8
8月26日 25-26赛季西甲第2轮 塞维利亚VS赫塔费,https://v13.qdhdcate.com/yyv13/202508/26/48dX96mwZa20/video/index.m3u8
8月24日 25-26赛季德甲第1轮 美因茨VS科隆,https://v14.qdhdcate.com/yyv14/202508/25/sGyxmE3hrK20/video/index.m3u8
8月24日 25-26赛季英超第2轮 水晶宫VS诺丁汉森林,https://v13.qdhdcate.com/yyv13/202508/25/LPxvqF5Av920/video/index.m3u8
8月25日 25-26赛季意甲第1轮 尤文图斯VS帕尔马,https://v14.qdhdcate.com/yyv14/202508/25/H3u869TXcm19/video/index.m3u8
8月26日 25-26赛季意甲第1轮 国际米兰VS都灵,https://v14.qdhdcate.com/yyv14/202508/26/Zd5uT7BAD122/video/index.m3u8
8月24日 25-26赛季法甲第2轮 洛里昂VS雷恩,https://v13.qdhdcate.com/yyv13/202508/25/Fa8m6E6iG721/video/index.m3u8
8月26日 25-26赛季意甲第1轮 乌迪内斯VS维罗纳,https://v14.qdhdcate.com/yyv14/202508/26/L0Ufm7qHX223/video/index.m3u8
8月24日 25-26赛季法甲第2轮 斯特拉斯堡VS南特,https://v13.qdhdcate.com/yyv13/202508/25/6JAcCsaPtM19/video/index.m3u8
8月24日 25-26赛季德甲第1轮 门兴VS汉堡,https://v14.qdhdcate.com/yyv14/202508/25/PCwxWLkP9923/video/index.m3u8
8月24日 25-26赛季法甲第2轮 勒阿弗尔VS朗斯,https://v13.qdhdcate.com/yyv13/202508/25/FJ7hYqS4Km21/video/index.m3u8
8月24日 25-26赛季法甲第2轮 图卢兹VS布雷斯特,https://v14.qdhdcate.com/yyv14/202508/25/aS8c5tx89f21/video/index.m3u8
8月25日 25-26赛季意甲第1轮 科莫VS拉齐奥,https://v13.qdhdcate.com/yyv13/202508/25/NDVaEY40uS19/video/index.m3u8
8月25日 25-26赛季法甲第2轮 里尔VS摩纳哥,https://v14.qdhdcate.com/yyv14/202508/25/5k4vXe13Kc24/video/index.m3u8
8月24日 25-26赛季英超第2轮 富勒姆VS曼联,https://v14.qdhdcate.com/yyv14/202508/25/ifJF01QLn621/video/index.m3u8
8月25日 25-26赛季意甲第1轮 亚特兰大VS比萨,https://v14.qdhdcate.com/yyv14/202508/25/DCcFrhg8UU23/video/index.m3u8
8月25日 25-26赛季意甲第1轮 卡利亚里VS佛罗伦萨,https://v13.qdhdcate.com/yyv13/202508/25/wDAihC5sBc23/video/index.m3u8
8月24日 25-26赛季意甲第1轮 萨索洛VS那不勒斯,https://v14.qdhdcate.com/yyv14/202508/24/GxkUCL1xir21/video/index.m3u8
8月24日 25-26赛季法甲第2轮 尼斯VS欧塞尔,https://v14.qdhdcate.com/yyv14/202508/24/YxZBC6b7Kv19/video/index.m3u8
8月25日 25-26赛季西甲第2轮 皇家社会VS西班牙人,https://v14.qdhdcate.com/yyv14/202508/25/Qu40LpemRw19/video/index.m3u8
8月24日 25-26赛季意甲第1轮 AC米兰VS克雷莫纳,https://v14.qdhdcate.com/yyv14/202508/24/gXKc9UU1yJ21/video/index.m3u8
8月24日 25-26赛季西甲第2轮 莱万特VS巴塞罗那,https://v13.qdhdcate.com/yyv13/202508/24/Lik0D1h33f22/video/index.m3u8
8月23日 25-26赛季英超第2轮 伯恩茅斯VS狼队,https://v14.qdhdcate.com/yyv14/202508/24/NE2Np5iVH222/video/index.m3u8
8月23日 25-26赛季德甲第1轮 弗赖堡VS奥格斯堡,https://v13.qdhdcate.com/yyv13/202508/24/bUN5B4k16U21/video/index.m3u8
8月24日 25-26赛季英超第2轮 阿森纳VS利兹联,https://v14.qdhdcate.com/yyv14/202508/24/QwTWZJHGjf19/video/index.m3u8
8月24日 25-26赛季意甲第1轮 热那亚VS莱切,https://v14.qdhdcate.com/yyv14/202508/24/xq6MYFXuDi22/video/index.m3u8
8月24日 25-26赛季英超第2轮 埃弗顿VS布莱顿,https://v14.qdhdcate.com/yyv14/202508/25/wgkv6TTvcK23/video/index.m3u8
