采集_动画片,#genre#
你个混账！,https://v13.qdhdcate.com/yyv13/202508/30/RfsiZYUqP919/video/index.m3u8
DC超级英雄美少女：亚特兰蒂斯传奇,https://v13.qdhdcate.com/yyv13/202508/30/d8WwsibiLU23/video/index.m3u8
潜艇总动员：冒险岛,https://v13.qdhdcate.com/yyv13/202508/30/0rm4nTC9EW20/video/index.m3u8
圣诞星,https://v13.qdhdcate.com/yyv13/202508/25/bHGRyutsXp23/video/index.m3u8
我们的七日战争,https://v14.qdhdcate.com/yyv14/202508/25/erw5qEd9FD23/video/index.m3u8
哆啦A梦：大雄的绘画奇遇记,https://v13.qdhdcate.com/yyv13/202508/27/NX2UuDLAe123/video/index.m3u8#HD$https://v14.qdhdcate.com/yyv14/202509/03/MXShAsCDKE22/video/index.m3u8
鬼灭之刃柱众会议·蝶屋敷篇,https://v14.qdhdcate.com/yyv14/202508/20/ciLQgJbWJy19/video/index.m3u8
喜羊羊与灰太狼之异国破晓,https://v13.qdhdcate.com/yyv13/202508/07/bgwFNgB1hW21/video/index.m3u8#TCV2$https://v13.qdhdcate.com/yyv13/202509/02/4GQngjsteS21/video/index.m3u8
罗小黑战记2,https://v13.qdhdcate.com/yyv13/202508/08/v2402zsEM223/video/index.m3u8#TCV3TCV3$https://v14.qdhdcate.com/yyv14/202509/02/wHRwMSznuE24/video/index.m3u8
棒球大联盟剧场版：友情的一球,https://v13.qdhdcate.com/yyv13/202508/19/d2WmwjJ8Ep19/video/index.m3u8
大室家亲爱的朋友们,https://v13.qdhdcate.com/yyv13/202508/20/N6djjPvMH623/video/index.m3u8
查理布朗的圣诞礼物,https://v13.qdhdcate.com/yyv13/202508/20/shChxBJfGH23/video/index.m3u8
十条命国语,https://v14.qdhdcate.com/yyv14/202508/17/mGuUCi3Fwz20/video/index.m3u8
怪化猫剧场版：唐伞,https://v13.qdhdcate.com/yyv13/202508/16/nH34WP8qPB19/video/index.m3u8
亚当转大人,https://v14.qdhdcate.com/yyv14/202508/18/gJHR0FTA1Y22/video/index.m3u8
