采集_影视解说,#genre#
夺命回声【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/prJK3US6LG14/video/index.m3u8
2012世界末日【影视解说】,https://v10.qdhdcate.com/yyv10/202405/01/sbR7k9QMS315/video/index.m3u8
夺命凶灵【影视解说】,https://v9.qdhdcate.com/yyv9/202407/31/9jqPCE7DdB18/video/index.m3u8
诡井【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/zBWW41y09T14/video/index.m3u8
飞蛾日记【影视解说】,https://v12.qdhdcate.com/yyv12/202407/31/XKjvVhY8C98/video/index.m3u8
告诉我是怎么死的【影视解说】,https://v5.qdhdcate.com/yyv5/202407/31/tiBVTaUcYq7/video/index.m3u8
新英雄本色【影视解说】,https://v3.qdhdcate.com/yyv3/202406/22/gy79XqhuRc18/video/index.m3u8
勾魂令【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/NzgcsxFt2T14/video/index.m3u8
无人知晓【影视解说】,https://v5.qdhdcate.com/yyv5/202404/24/WLZx0YjpJq3/video/index.m3u8
鬼娃回魂【影视解说】,https://v10.qdhdcate.com/yyv10/202407/31/xpHr3JkFqC15/video/index.m3u8
鬼娃回魂3【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/f5Cr12ePLW3/video/index.m3u8
鬼娃回魂7【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/0px70S8A1T3/video/index.m3u8
鬼娃新娘【影视解说】,https://v9.qdhdcate.com/yyv9/202407/31/AJ77ggqjan18/video/index.m3u8
加班遇到鬼【影视解说】,https://v12.qdhdcate.com/yyv12/202407/31/yZfnZ1y0VX8/video/index.m3u8
黑暗楼层【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/dKv5rttKpZ14/video/index.m3u8
极端行为【影视解说】,https://v9.qdhdcate.com/yyv9/202407/31/YbL6m0y5MH18/video/index.m3u8
惊魂眼【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/XTrzDyLGgg3/video/index.m3u8
雪山惊魂2【影视解说】,https://v12.qdhdcate.com/yyv12/202407/30/wPmeubyXKM8/video/index.m3u8
惊声尖叫2【影视解说】,https://v10.qdhdcate.com/yyv10/202407/31/7rppgydAfY15/video/index.m3u8
惊声尖叫【影视解说】,https://v9.qdhdcate.com/yyv9/202407/31/QycpLEc32R18/video/index.m3u8
惊声尖叫5【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/JQVTpyNeHu14/video/index.m3u8
神偷艳贼【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/t2VKA2ndqc15/video/index.m3u8
圣人莫德【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/u1xjAwp3bY7/video/index.m3u8
去年夏天【影视解说】,https://v5.qdhdcate.com/yyv5/202408/03/ZnQWhKhjce7/video/index.m3u8
惊声尖叫3【影视解说】,https://v5.qdhdcate.com/yyv5/202407/31/Yyvay3Dj7D7/video/index.m3u8
恐惧街2【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/VaeXpdweZQ3/video/index.m3u8
噬魂剑【影视解说】,https://v12.qdhdcate.com/yyv12/202408/01/B9zmNqH97h8/video/index.m3u8
生人勿近之问米【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/JF1B0i4rzH3/video/index.m3u8
闪回【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/uQxTvqEen87/video/index.m3u8
惊声尖叫4【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/KNwKbXb63X3/video/index.m3u8
云边有个小卖部【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/z5G5jHn6Fp18/video/index.m3u8
苏镇巫女【影视解说】,https://v8.qdhdcate.com/yyv8/202408/01/5VhzZYmvw214/video/index.m3u8
命案【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/kLFfjgTmJ82/video/index.m3u8
父仇者【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/0EgZk3Y1tQ2/video/index.m3u8
古惑仔之人在江湖【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/swXHB6ZNMh2/video/index.m3u8
告白【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/vuBJEVWcN92/video/index.m3u8
地狱神探【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/vD7yhP7KLB2/video/index.m3u8
两个心脏【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/nNE4A5db3b2/video/index.m3u8
末日浩劫【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/41sQFSgJAV2/video/index.m3u8
少年【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/2pZSbZ5YCw2/video/index.m3u8
卸尸宴【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/PadrmAxHpy2/video/index.m3u8
王的盛宴【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/eLDUzkkAah2/video/index.m3u8
同名男子【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/C6BBbLrRix2/video/index.m3u8
恐惧街3【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/CMhMZRFGTf14/video/index.m3u8
学区房83弄【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/MfiXs5dvX72/video/index.m3u8
流星溢彩【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/eFmuxwb3qG2/video/index.m3u8
厉鬼缠身【影视解说】,https://v5.qdhdcate.com/yyv5/202407/31/KV7eTU7x6s7/video/index.m3u8
冤家宜解不宜结【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/E67mCuXpfQ2/video/index.m3u8
索朗芝怎么了？【影视解说】,https://v9.qdhdcate.com/yyv9/202408/01/B5mWDea5uc18/video/index.m3u8
在恐惧中【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/EMttUKEFwi7/video/index.m3u8
午夜43路【影视解说】,https://v8.qdhdcate.com/yyv8/202408/01/tp4dDnDmQt14/video/index.m3u8
哀愁灰姑娘【影视解说】,https://v10.qdhdcate.com/yyv10/202408/01/AXAzEhJBYQ15/video/index.m3u8
异形基地【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/WapVKD3uQE7/video/index.m3u8
一个星期四【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/gLqTbJ5y2U2/video/index.m3u8
82号古宅【影视解说】,https://v9.qdhdcate.com/yyv9/202408/01/aZHteRhUTf18/video/index.m3u8
通灵车教【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/bpEDXQX8Sg3/video/index.m3u8
逃脱的女孩【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/Eb7pX8k4sP7/video/index.m3u8
忠烈杨家将【影视解说】,https://v10.qdhdcate.com/yyv10/202403/11/kT7MBXfMmd2/video/index.m3u8
爱之咒：黑色婚礼【影视解说】,https://v9.qdhdcate.com/yyv9/202408/01/zJpFWCUnay18/video/index.m3u8
暗夜獠牙【影视解说】,https://v10.qdhdcate.com/yyv10/202408/01/YWUtet4htd15/video/index.m3u8
双龙出手【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/m03eBNj30115/video/index.m3u8
美国精神病人【影视解说】,https://v5.qdhdcate.com/yyv5/202407/31/82EBzuXJf67/video/index.m3u8
凌晨晚餐【影视解说】,https://v12.qdhdcate.com/yyv12/202407/31/RekXUbTXeA8/video/index.m3u8
特工妈咪【影视解说】,https://v12.qdhdcate.com/yyv12/202408/03/d2x8MLSs2e8/video/index.m3u8
桃色辩护【影视解说】,https://v12.qdhdcate.com/yyv12/202408/03/dCiN5HiaRW8/video/index.m3u8
我爸没说的那件事【影视解说】,https://v8.qdhdcate.com/yyv8/202407/25/U6BZBRea8q14/video/index.m3u8
夜宴【影视解说】,https://v12.qdhdcate.com/yyv12/202407/25/edUiksN3MF8/video/index.m3u8
我经过风暴【影视解说】,https://v8.qdhdcate.com/yyv8/202407/25/r15hjmuJkq14/video/index.m3u8
梦幻岛【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/8c4kAMTv443/video/index.m3u8
睡在我上铺的兄弟【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/vHmGKcMMuW15/video/index.m3u8
白室【影视解说】,https://v12.qdhdcate.com/yyv12/202408/01/KXFdSui7Fb8/video/index.m3u8
当天使沉睡【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/EhMAVCJj2D7/video/index.m3u8
等着你回来【影视解说】,https://v8.qdhdcate.com/yyv8/202408/01/S2EaqSCT4v14/video/index.m3u8
兔子快跑【影视解说】,https://v11.qdhdcate.com/yyv11/202408/03/jY2U3kAGS03/video/index.m3u8
王牌继承者【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/PWE3NHzH6118/video/index.m3u8
我和厄尔以及将死的女孩【影视解说】,https://v5.qdhdcate.com/yyv5/202408/03/gBSWLmvkP97/video/index.m3u8
沃尔科诺戈夫上尉逃亡记【影视解说】,https://v11.qdhdcate.com/yyv11/202408/03/FDTcLFHMcX3/video/index.m3u8
录影带谋杀案【影视解说】,https://v11.qdhdcate.com/yyv11/202407/31/Pv2Vf5QnC23/video/index.m3u8
地表惊旅【影视解说】,https://v12.qdhdcate.com/yyv12/202408/01/ZTgNb5TL0p8/video/index.m3u8
胜利号【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/PrQ4tu0aRH15/video/index.m3u8
杜迦玛蒂：神话【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/MUk1jCf42b3/video/index.m3u8
小鬼当家3【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/sUm5BHYtEr15/video/index.m3u8
断电惊魂【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/WAvFi72RMP3/video/index.m3u8
破坏欲【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/A7sizpAygV14/video/index.m3u8
古宅【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/itYFQE0zPN7/video/index.m3u8
无用之事【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/06jqf8JvpD18/video/index.m3u8
女巫清算【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/2tmNChZChY14/video/index.m3u8
尼可曼斯【影视解说】,https://v5.qdhdcate.com/yyv5/202407/31/aLXF5vVT7X7/video/index.m3u8
撒旦的奴隶【影视解说】,https://v8.qdhdcate.com/yyv8/202407/31/WpTx5A3Zyt14/video/index.m3u8
地狱通话【影视解说】,https://v9.qdhdcate.com/yyv9/202408/01/zLtS1Pe5T718/video/index.m3u8
怪奇宅【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/f1JhMKv0vE3/video/index.m3u8
骇人手机【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/UYaBTz5UHm7/video/index.m3u8
极道公主【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/2TSKNdm85Z3/video/index.m3u8
极限网红【影视解说】,https://v8.qdhdcate.com/yyv8/202408/01/SQc8EXRybd14/video/index.m3u8
鬼寺凶灵2【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/Cmehqq6Z3e7/video/index.m3u8
欢迎来到隔离病房【影视解说】,https://v12.qdhdcate.com/yyv12/202408/01/6QEHLcfGJR8/video/index.m3u8
忌日快乐2【影视解说】,https://v10.qdhdcate.com/yyv10/202408/01/3MK0nBZYTz15/video/index.m3u8
欢快的鬼魂【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/pZiECY96QK7/video/index.m3u8
诡秘阴宅【影视解说】,https://v8.qdhdcate.com/yyv8/202408/01/2hwRfV8wG914/video/index.m3u8
黑色之家【影视解说】,https://v12.qdhdcate.com/yyv12/202408/01/2cE4SipYvw8/video/index.m3u8
恐惧天使【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/eDzjG2gpJf7/video/index.m3u8
恐雨【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/Rg9P7mbMFG3/video/index.m3u8
恐惧药物【影视解说】,https://v11.qdhdcate.com/yyv11/202408/01/2KFvs6ZdsR3/video/index.m3u8
蒙眼缉凶【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/iwybmqXABe7/video/index.m3u8
一出好戏【影视解说】,https://v5.qdhdcate.com/yyv5/202408/03/KcAWgKuLVC7/video/index.m3u8
躯壳【影视解说】,https://v5.qdhdcate.com/yyv5/202408/01/eRuxXAWb4g7/video/index.m3u8
血狼犬【影视解说】,https://v11.qdhdcate.com/yyv11/202408/03/67z1zNjuXE3/video/index.m3u8
杨门女将之军令如山【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/G9FJmAtGBg15/video/index.m3u8
闹鬼旅馆【影视解说】,https://v9.qdhdcate.com/yyv9/202408/01/vYQkmW0fKx18/video/index.m3u8
一点就到家【影视解说】,https://v8.qdhdcate.com/yyv8/202408/03/V0n6Cjk9W614/video/index.m3u8
余生三十天【影视解说】,https://v11.qdhdcate.com/yyv11/202408/03/WYSudisUS43/video/index.m3u8
整容日记【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/MZsc077HV518/video/index.m3u8
月半爱丽丝【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/UF46CGWftd18/video/index.m3u8
最萌警探【影视解说】,https://v8.qdhdcate.com/yyv8/202408/03/jWZngGNTZL14/video/index.m3u8
中国飞侠【影视解说】,https://v12.qdhdcate.com/yyv12/202408/03/1ce1kmPjme8/video/index.m3u8
遇见你真好【影视解说】,https://v11.qdhdcate.com/yyv11/202408/03/Gc5JDjwwAD3/video/index.m3u8
破冰【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/skzcaHb2ap18/video/index.m3u8
音乐僵尸【影视解说】,https://v11.qdhdcate.com/yyv11/202408/03/6d3XiyfRfq3/video/index.m3u8
异灵灵异2002【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/wKQ7Qa4Ruu15/video/index.m3u8
头七【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/PcTR6ZC9Lj18/video/index.m3u8
开心鬼【影视解说】,https://v5.qdhdcate.com/yyv5/202408/03/jsLBMVJmnG7/video/index.m3u8
东哥闯东北【影视解说】,https://v10.qdhdcate.com/yyv10/202408/03/rW5ndHZGtr15/video/index.m3u8
作家的谎言：笔忠诱罪【影视解说】,https://v5.qdhdcate.com/yyv5/202408/03/yG6Q4xVxtE7/video/index.m3u8
坚如磐石【影视解说】,https://v12.qdhdcate.com/yyv12/202408/03/wfY5acqwE48/video/index.m3u8
地下27天【影视解说】,https://v12.qdhdcate.com/yyv12/202408/03/Np7iGYyN0c8/video/index.m3u8
猫妖奇谭【影视解说】,https://v12.qdhdcate.com/yyv12/202408/03/4Mn5cxhr1C8/video/index.m3u8
奇缘【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/FZHYn857j918/video/index.m3u8
家有喜事【影视解说】,https://v9.qdhdcate.com/yyv9/202408/03/KwQgmK8eiy18/video/index.m3u8
